,2010 Count,2010 Mean,2010 StD,2010 Min,2010 LQ,2010 Median,2010 UQ,2010 Max,2019 Count,2019 Mean,2019 StD,2019 Min,2019 LQ,2019 Median,2019 UQ,2019 Max
bicycle,824.0,1.1498915204842755,2.6338795048035957,0.0,0.0,0.0,1.033593266893127,22.261482220097346,824.0,1.5803040364751033,3.1669069068110955,0.0,0.0,0.0,1.5926676017442785,22.048031822951398
walked,824.0,0.7573136802518577,2.137570765719177,-0.47909778270508385,-0.2762172597026511,0.006910413994543119,0.7023047685566663,12.859364610389159,824.0,0.7948304531083237,2.1610276277262996,-0.48359830568073203,-0.27266839161253115,0.01738550388164431,0.7896675103060189,13.857475663047698
otherTravel,824.0,0.45262088650525645,1.2894741096080635,-0.32850330928093446,-0.32850330928093446,-0.06164357233755058,0.6695220646638741,8.733833559086166,824.0,0.592576683293748,1.9449053348664047,-0.692868579827852,-0.692868579827852,-0.01893746613930164,1.027572050698092,17.51408341343733
homeworker,824.0,0.0981024108881557,0.7238017229674871,-0.8267096515391638,-0.48919211391461026,-0.026780382138442083,0.4864603655012805,3.0385615470933365,824.0,0.09497325647844292,0.7897187832951036,-1.09778138691687,-0.5117539373486228,-0.018381251170736634,0.5662792344254259,3.6922405884339056
privateVehicle,824.0,-0.24982046487685386,0.7198153913042786,-2.505456731326498,-0.6947631565564637,-0.0037139101643886008,0.2964871618869227,0.748817838241159,824.0,-0.20327546311654968,0.7147812515255686,-2.2418456477301456,-0.6689579326731273,-0.001155741483046091,0.3729763456474444,0.953363133419125
carpool,824.0,0.21628793851837938,1.0015284276220229,-1.3413367523795778,-0.4319720271626212,0.01574604282162928,0.584558666363316,8.093573370874546,824.0,0.13654448662343607,0.7645583995356365,-1.220290888124559,-0.39846886543735344,0.01852258050202127,0.5289719443884788,5.125408710913703
subwayTram,824.0,0.5096567422471919,1.009158384865894,-0.19898023784454485,-0.16281677562951266,0.0019323087099973602,0.8413114527694054,5.579431972560301,824.0,0.33842339570108587,1.0141931595707818,-0.661994383713751,-0.38287368210184514,0.0029554756826604134,0.758100113120119,6.43048747713766
1990_1999,824.0,0.2635114044337876,0.8552935477614678,-0.5561603499096335,-0.34308189103781483,-0.0246334643342086,0.6379851805774492,4.337095637657786,824.0,0.19871682398545207,0.7797825549317032,-0.6575610936901665,-0.3718052270928362,-0.005791482258053149,0.5083141849284578,4.35588888335504
1980_1989,824.0,0.17573280696533902,0.8166273619379508,-0.7778904991769169,-0.43370035675723917,-0.01229247546698603,0.5562575312608404,4.997787551808454,824.0,0.16088096239646615,0.7536011901742364,-0.7739774331652259,-0.367117783718684,-0.024376894774887803,0.4607816561592799,4.850455843132843
1970_1979,824.0,0.14369365696320285,0.83140915162977,-0.912330787281078,-0.4675269245844839,-0.014799582482684315,0.5129799403282445,4.927587231215272,824.0,0.13663793738696717,0.772670797944986,-0.9227481213642634,-0.409159780498648,-0.012609656279235992,0.48421564916508947,4.589446141675564
1960_1969,824.0,0.12310708067569506,0.7759781809286271,-0.9257333145148456,-0.44525513150565926,-0.02166668746894196,0.5254941409392276,3.87129839558194,824.0,0.10530510235559525,0.7039931358595835,-0.918507837987264,-0.39418473614677546,-0.03295386739829931,0.4315782084613342,3.510821251258768
1950_1959,824.0,0.12492786326020308,0.6906544556342721,-0.86733656876107,-0.43060902200965634,-0.0012774314882230686,0.5548446890721059,2.4595810007246253,824.0,0.15320107716059964,0.6768767909030707,-0.8191235721786783,-0.3354621893598908,-0.013590251923934982,0.4967035937986929,3.140102892092311
1940_1949,824.0,0.16812926375418735,0.8788284190514597,-1.0215152027734127,-0.443442385192124,0.00913255631002774,0.532420939713817,5.420960194812459,824.0,0.14877811237025426,0.7734626693505214,-0.9612179243498651,-0.41738912212314294,0.015301522087055541,0.5274919553495138,3.5771299096601834
pre_1939,824.0,0.06784554000490335,0.5575525458144455,-0.8923964431297953,-0.4367892831163952,0.07300934161913486,0.550166739051835,1.2391237628812246,824.0,0.0673904887657075,0.5268014747360439,-0.8300657288261947,-0.3811388482280144,0.03848405661795712,0.5130950162979451,1.216641397893968
2000_later,824.0,0.2516319157455698,0.8892823504601526,-0.5799472988636408,-0.36521720144989656,-0.011694622964124657,0.6120269442799131,5.25970966810091,824.0,0.3359944223292424,1.2665498235051165,-1.06651980090356,-0.5822478364234216,-0.039448749194574306,0.8605589750517316,6.786603963363382
detatched_1,824.0,-0.022301787724946346,0.5080851004630195,-0.7644403295871235,-0.5233345477556877,-0.028310655057669887,0.4380203872874825,0.8916180883753778,824.0,-0.03634879931628656,0.4987819516394688,-0.7645266566071331,-0.5397059129953158,-0.0320526780418906,0.408879963843041,0.9028359912116983
attached_1,824.0,0.28202178203968625,0.9177692678595452,-0.7229313717887487,-0.33991876232098894,0.017150932077779124,0.6635552937334654,5.073439401729747,824.0,0.20059105685877515,0.9525333072959602,-0.9291455502109203,-0.4303381761990347,0.011665669925830624,0.5764350459913403,7.3591184639252045
2_unit,824.0,0.2731331143465709,0.7421007061599989,-0.5346223165440084,-0.32307165646968133,0.06675259851536186,0.6874856825169855,3.4956988133722913,824.0,0.2496273759682717,0.7001200243405695,-0.5056913321582808,-0.3140893523032753,0.040953719946278666,0.6230485065690234,3.5763455415509613
3to4_unit,824.0,0.35685064768597147,0.862982982826679,-0.44784554224509,-0.2775070191171253,0.023876906320374508,0.7485558859134537,4.359071576201393,824.0,0.3757404120856243,0.8543215634316074,-0.42027322799289124,-0.25764347473620697,0.04555009459679546,0.7429880000453437,4.445136797667138
5to9_unit,824.0,0.34076422571632153,0.9577952314186011,-0.5288582601676997,-0.3130288856599042,0.036286023794365185,0.6833679900294558,5.519780291245616,824.0,0.29497226843025254,0.8909811197927378,-0.5221284048551772,-0.30516444729785014,0.0283949971881457,0.5836425900147215,5.471370992214897
10to19_unit,824.0,0.3009976029166081,0.9995952716739439,-0.5443502079784046,-0.409639835220757,0.02277354985354929,0.595068587569866,7.621536463850082,824.0,0.31027740156206807,0.9697979866261575,-0.5544268500022821,-0.37857379581124767,0.03423462979790698,0.6482721431326687,6.33933592902503
20to49_unit,824.0,0.3761451135906766,1.0861457707326836,-0.45235223304355443,-0.3081553313165977,0.011274707190796401,0.6951012704694673,10.677489263521757,824.0,0.34426396012737054,1.0917555237387018,-0.562625353381718,-0.4281007927298184,0.026926220867284745,0.7108356888755984,10.847197274935343
50plus_unit,824.0,0.554285688519773,1.3672563703739506,-0.24925974320908437,-0.24925974320908437,0.0075378980067333234,0.7189125050368498,10.644663914579272,824.0,0.5941912580819346,1.452703249843918,-0.31353724373606906,-0.26353650172182114,0.001164000787411662,0.840443612880867,10.697493819156067
mobile,824.0,0.004964643744195725,0.022357351699957652,0.0,0.0,0.0,0.0,0.3893473368342086,824.0,0.005391586331792072,0.021845830627724522,0.0,0.0,0.0,0.0,0.3443169196593854
hoursWk,824.0,-0.01073071027082315,1.010842269660166,-6.526315789473685,-0.4736842105263168,0.0,0.5052631578947384,5.684210526315788,824.0,-0.03970362800204265,1.043847799054336,-6.06315789473684,-0.5052631578947366,0.0,0.4631578947368453,4.7157894736842145
