geoid,medianCR
25025081200,331.0
25025081300,322.0
25025081400,1082.0
25025081500,900.0
25025081700,654.0
25025081800,817.0
25025081900,816.0
25025082000,759.0
25025082100,338.0
25025090100,811.0
25025090200,381.0
25025090300,644.0
25025090400,514.0
25025090600,1017.0
25025090700,1024.0
25025090901,1321.0
25025091001,981.0
25025091100,1078.0
25025091200,945.0
25025091300,961.0
25025091400,779.0
25025091500,832.0
25025091600,971.0
25025091700,1076.0
25025091800,983.0
25025091900,1032.0
25025092000,877.0
25025092101,1008.0
25025092200,1057.0
25025092300,1034.0
25025092400,704.0
25025100100,488.0
25025100200,944.0
25025100300,1026.0
25025100400,1158.0
25025100500,940.0
25025100601,1017.0
25025100603,886.0
25025100700,776.0
25025100800,1039.0
25025100900,1040.0
25025101001,932.0
25025101002,870.0
25025101101,1124.0
25025101102,1131.0
25025110103,963.0
25025110201,804.0
25025110301,1115.0
25025110401,1087.0
25025110403,830.0
25025110501,1216.0
25025110502,1175.0
25025110601,1393.0
25025110607,1149.0
25025120103,1643.0
25025120104,1244.0
25025120105,
25025120201,1127.0
25025120301,987.0
25025120400,1253.0
25025120500,1143.0
25025120600,1420.0
25025120700,1297.0
25025130100,1257.0
25025130200,1292.0
25025130300,1112.0
25025130402,1032.0
25025130404,1111.0
25025130406,964.0
25025140102,969.0
25025140105,991.0
25025140106,569.0
25025140107,512.0
25025140201,975.0
25025140202,943.0
25025140300,990.0
25025140400,1116.0
25025160101,1006.0
25025160200,884.0
25025160300,714.0
25025160400,762.0
25025160501,778.0
25025160502,809.0
25025160601,1035.0
25025160602,932.0
25025170100,1151.0
25025170200,444.0
25025170300,1198.0
25025170400,929.0
25025170501,1017.0
25025170502,896.0
25025170601,1023.0
25025170701,966.0
25025170702,912.0
25025170800,961.0
25025180101,1071.0
25025180200,1062.0
25025180301,1155.0
25025180400,1098.0
25025180500,1093.0
25025980101,
25025980300,
25025980700,
25025981000,
25025981100,
25025981201,
25025981202,
25025981300,1699.0
25025981501,
25025981502,
25025981600,
25025981700,
25025981800,
25025990101,235.0
