geoid,medianInc
25023507104,107604.0
25023508101,84907.0
25023508102,74205.0
25023508200,90564.0
25023509101,80668.0
25023509102,77014.0
25023510100,64741.0
25023510200,68902.0
25023510300,31102.0
25023510400,41977.0
25023510501,49091.0
25023510502,36151.0
25023510503,49011.0
25023510600,69844.0
25023510700,61416.0
25023510800,38665.0
25023510900,16042.0
25023511000,62308.0
25023511100,72606.0
25023511200,45802.0
25023511301,63859.0
25023511302,52700.0
25023511400,38864.0
25023511500,56053.0
25023511600,48456.0
25023511701,69118.0
25023511702,73333.0
25023520100,72690.0
25023520201,68938.0
25023520202,86115.0
25023521101,72802.0
25023521102,84635.0
25023521201,58718.0
25023521202,88170.0
25023522101,82403.0
25023522102,81500.0
25023523100,77905.0
25023523201,100313.0
25023523202,76765.0
25023524101,87143.0
25023524102,63482.0
25023525101,84400.0
25023525104,95539.0
25023525203,76523.0
25023525204,113531.0
25023525300,
25023526100,81855.0
25023530100,70481.0
25023530200,43885.0
25023530300,52910.0
25023530400,75599.0
25023530500,59535.0
25023530600,89632.0
25023530700,76545.0
25023530801,87566.0
25023530802,74604.0
25023530901,79388.0
25023530902,96910.0
25023540101,90194.0
25023540102,93214.0
25023540103,99146.0
25023541100,95022.0
25023542101,89792.0
25023542102,84000.0
25023542200,66840.0
25023542300,56833.0
25023543100,87917.0
25023544100,82917.0
25023544200,58250.0
25023545100,60396.0
25023545200,54863.0
25023545300,51662.0
25023545400,53349.0
25023560100,74877.0
25023561100,101006.0
25023561200,36484.0
25023990003,
25025000100,55179.0
25025000201,68010.0
25025000202,54151.0
25025000301,87230.0
25025000302,83357.0
25025000401,42136.0
25025000402,57530.0
25025000502,51875.0
25025000503,62083.0
25025000504,39452.0
25025000601,60343.0
25025000602,25476.0
25025000701,53083.0
25025000703,19299.0
25025000704,41606.0
25025000802,36734.0
25025000803,23429.0
25025010103,16210.0
25025010104,35262.0
25025010203,35906.0
25025010204,35023.0
25025010300,26397.0
25025010403,20365.0
25025010404,17965.0
25025010405,14188.0
25025010408,44492.0
25025010500,36017.0
25025010600,68080.0
25025010701,88438.0
25025010702,91071.0
25025010801,112284.0
25025010802,85362.0
25025020101,93244.0
25025020200,54228.0
25025020301,60347.0
25025020302,62302.0
25025020303,87244.0
25025030100,53026.0
25025030200,51909.0
25025030300,106602.0
25025030400,61157.0
25025030500,82308.0
25025040100,120250.0
25025040200,51377.0
25025040300,109028.0
25025040401,70026.0
25025040600,108060.0
25025040801,32333.0
25025050101,30274.0
25025050200,51191.0
25025050300,14505.0
25025050400,46250.0
25025050500,40929.0
25025050600,41196.0
25025050700,54479.0
25025050901,39893.0
25025051000,39559.0
25025051101,51855.0
25025051200,43954.0
25025060101,70172.0
25025060200,83398.0
25025060301,80457.0
25025060400,71711.0
25025060501,89922.0
25025060600,78750.0
25025060700,17143.0
25025060800,75814.0
25025061000,26056.0
25025061101,12429.0
25025061200,66179.0
25025070101,41786.0
25025070200,18224.0
25025070300,106337.0
25025070402,16638.0
25025070500,81331.0
25025070600,87222.0
25025070700,59048.0
25025070800,45172.0
25025070900,41364.0
25025071101,42317.0
25025071201,37098.0
25025080100,46492.0
25025080300,30362.0
25025080401,15073.0
25025080500,15481.0
25025080601,18897.0
25025080801,15588.0
25025080900,33750.0
25025081001,32835.0
25025081100,46250.0
25025081200,25472.0
25025081300,16835.0
25025081400,54718.0
25025081500,45357.0
25025081700,35781.0
25025081800,45000.0
25025081900,43853.0
25025082000,41172.0
25025082100,20700.0
25025090100,30389.0
25025090200,16055.0
25025090300,16495.0
25025090400,34659.0
25025090600,44141.0
25025090700,41750.0
25025090901,30613.0
25025091001,59345.0
25025091100,61706.0
25025091200,53657.0
25025091300,30467.0
25025091400,30938.0
25025091500,42857.0
25025091600,29632.0
25025091700,47371.0
25025091800,42368.0
25025091900,30069.0
25025092000,49342.0
25025092101,42957.0
25025092200,46618.0
25025092300,36573.0
25025092400,28597.0
25025100100,26007.0
25025100200,46122.0
25025100300,44071.0
25025100400,47171.0
25025100500,41575.0
25025100601,51783.0
25025100603,60417.0
25025100700,66585.0
25025100800,56800.0
25025100900,57077.0
25025101001,66000.0
25025101002,39474.0
25025101101,53924.0
25025101102,37646.0
25025110103,56487.0
25025110201,53148.0
25025110301,83990.0
25025110401,46944.0
25025110403,59234.0
25025110501,90613.0
25025110502,50924.0
25025110601,100197.0
25025110607,82642.0
25025120103,147308.0
25025120104,63125.0
25025120105,143482.0
25025120201,60560.0
25025120301,59707.0
25025120400,84567.0
25025120500,49013.0
25025120600,82500.0
25025120700,58893.0
25025130100,71213.0
25025130200,90655.0
25025130300,90313.0
25025130402,73217.0
25025130404,72396.0
25025130406,33600.0
25025140102,64732.0
25025140105,74853.0
25025140106,30417.0
25025140107,47297.0
25025140201,54000.0
25025140202,63792.0
25025140300,49524.0
25025140400,59036.0
25025160101,42454.0
25025160200,35000.0
25025160300,52985.0
25025160400,27560.0
25025160501,36593.0
25025160502,32236.0
25025160601,55163.0
25025160602,43343.0
25025170100,50357.0
25025170200,58710.0
25025170300,65417.0
25025170400,41829.0
25025170501,37604.0
25025170502,48019.0
25025170601,46250.0
25025170701,42695.0
25025170702,58175.0
25025170800,50453.0
25025180101,55341.0
25025180200,63425.0
25025180301,90778.0
25025180400,68994.0
25025180500,70444.0
25025980101,
25025980300,
25025980700,
25025981000,
25025981100,
25025981201,
25025981202,
25025981300,73625.0
25025981501,
25025981502,
25025981600,
25025981700,
25025981800,218419.0
25025990101,25862.0
