medianInc,geoid
57687.0,25025081100
24854.0,25025081200
16226.0,25025081300
55909.0,25025081400
36464.0,25025081500
32183.0,25025081700
30767.0,25025081800
27745.0,25025081900
43077.0,25025082000
25125.0,25025082100
34195.0,25025090100
26755.0,25025090200
30975.0,25025090300
38750.0,25025090400
50117.0,25025090600
70346.0,25025090700
25662.0,25025090901
94896.0,25025091001
84972.0,25025091100
87292.0,25025091200
41020.0,25025091300
45388.0,25025091400
53651.0,25025091500
47317.0,25025091600
49800.0,25025091700
33784.0,25025091800
54375.0,25025091900
57214.0,25025092000
56149.0,25025092101
71683.0,25025092200
55469.0,25025092300
33591.0,25025092400
28659.0,25025100100
53269.0,25025100200
51645.0,25025100300
68194.0,25025100400
59913.0,25025100500
76593.0,25025100601
90893.0,25025100603
96250.0,25025100700
89500.0,25025100800
86716.0,25025100900
64185.0,25025101001
49947.0,25025101002
50625.0,25025101101
46080.0,25025101102
87214.0,25025110103
45250.0,25025110201
69563.0,25025110301
64494.0,25025110401
100833.0,25025110403
94615.0,25025110501
98977.0,25025110502
107012.0,25025110601
106222.0,25025110607
160341.0,25025120103
100977.0,25025120104
161473.0,25025120105
84321.0,25025120201
94362.0,25025120301
103016.0,25025120400
84850.0,25025120500
105968.0,25025120600
96711.0,25025120700
112468.0,25025130100
111808.0,25025130200
123241.0,25025130300
73039.0,25025130402
69798.0,25025130404
53265.0,25025130406
98750.0,25025140102
93810.0,25025140105
32056.0,25025140106
82750.0,25025140107
81063.0,25025140201
77250.0,25025140202
62056.0,25025140300
62743.0,25025140400
67058.0,25025160101
49688.0,25025160200
52500.0,25025160300
58967.0,25025160400
50917.0,25025160501
47689.0,25025160502
60818.0,25025160601
63776.0,25025160602
68470.0,25025170100
49788.0,25025170200
72721.0,25025170300
52474.0,25025170400
60179.0,25025170501
63944.0,25025170502
67230.0,25025170601
49390.0,25025170701
54375.0,25025170702
69485.0,25025170800
51953.0,25025180101
85179.0,25025180200
86118.0,25025180301
83333.0,25025180400
76974.0,25025180500
,25025980101
,25025980300
,25025980700
,25025981000
44808.0,25025981100
,25025981201
,25025981202
128000.0,25025981300
,25025981501
,25025981502
,25025981600
,25025981700
,25025981800
,25025990101
