total (education),geoid,noSchool,elementary,middleSchool,highSchool,associates,bachelors,masters,professional,doctorate
0,25017980000,0,0,0,0,0,0,0,0,0
3519,25021400100,19,24,171,373,82,959,889,535,467
4139,25021400200,2,18,69,381,48,1327,1109,521,664
2716,25021400300,24,17,51,343,51,995,520,261,454
4176,25021400400,33,0,0,599,90,1037,1330,376,711
3571,25021400500,14,0,22,448,43,1310,655,434,645
3559,25021400600,79,0,31,331,44,979,800,559,736
2267,25021400700,8,10,22,176,71,652,624,307,397
3971,25021400800,58,45,38,380,90,1428,1053,401,478
2974,25021400900,18,38,16,590,105,845,546,279,537
2179,25021401000,11,10,121,302,62,598,470,221,384
2604,25021401100,0,19,10,280,95,638,769,355,438
4670,25021401200,16,0,39,472,162,1315,1250,712,704
2750,25021402101,9,26,43,1009,228,723,559,102,51
2968,25021402102,60,29,110,1237,232,703,428,110,59
1633,25021402200,18,18,40,735,126,444,203,20,29
3352,25021402300,39,54,24,1259,150,979,615,149,83
4572,25021402400,36,15,187,1537,216,1497,754,166,164
3343,25021402500,0,21,171,892,165,912,898,192,92
4409,25021403100,27,0,34,611,190,1402,1458,485,202
2885,25021403300,0,0,30,411,121,1030,756,395,142
4611,25021403400,21,71,55,719,155,1362,1270,488,470
4475,25021403500,0,72,77,1028,305,1170,1193,316,314
2572,25021404100,18,0,59,253,44,879,876,254,189
2392,25021404201,0,26,38,112,74,904,691,375,172
2096,25021404202,21,4,24,282,61,572,685,248,199
3377,25021404301,0,0,12,330,80,1227,889,552,287
2647,25021404302,13,48,19,542,116,817,575,229,288
2880,25021404400,21,0,37,255,99,1018,827,318,305
