total (occupation),geoid,top_occ,service,sales,nat_construction,production
1724,25021402500,979,190,384,76,95
3382,25021403100,2298,255,579,130,120
2128,25021403300,1503,208,292,46,79
3220,25021403400,2155,166,784,64,51
3197,25021403500,2047,378,569,146,57
1805,25021404100,1261,84,449,11,0
1333,25021404201,1078,70,157,19,9
2210,25021404202,1329,277,524,45,35
2425,25021404301,1898,110,374,17,26
1839,25021404302,1225,150,405,29,30
3046,25021404400,1874,291,779,10,92
2708,25021405100,2068,185,378,38,39
2895,25021406101,1718,304,700,77,96
3280,25021406102,2310,312,513,119,26
4418,25021407100,2031,633,1102,367,285
4648,25021408101,2699,508,902,390,149
2930,25021408102,1517,489,504,229,191
2147,25021409101,1194,274,461,122,96
2921,25021409102,1741,313,636,135,96
3388,25021410100,1777,457,771,273,110
2392,25021410300,1291,278,479,171,173
3464,25021410400,1753,489,886,110,226
4504,25021411100,2438,684,749,315,318
3969,25021411200,2116,341,948,323,241
2502,25021411301,1364,286,570,129,153
1862,25021411302,1044,231,350,106,131
3402,25021412100,2220,421,549,64,148
1744,25021412200,1041,145,422,72,64
2818,25021412300,1815,176,553,134,140
2808,25021413100,1535,416,629,41,187
3652,25021413200,1837,394,834,282,305
2946,25021413300,1601,511,539,143,152
1930,25021413401,898,249,541,118,124
2634,25021413402,1510,392,506,89,137
2844,25021413500,1103,573,719,212,237
3043,25021414100,2272,103,546,39,83
3909,25021414200,2757,311,655,14,172
2680,25021414300,1822,229,376,93,160
2599,25021415101,1478,256,614,143,108
4554,25021415102,2296,697,917,422,222
3044,25021415200,1973,277,486,123,185
2081,25021415300,1256,261,305,135,124
2661,25021416101,1675,276,501,108,101
1816,25021416102,897,337,492,68,22
4059,25021416200,2232,716,770,213,128
2620,25021416300,1752,301,400,27,140
3034,25021416400,2112,242,302,246,132
3236,25021417100,1540,732,494,213,257
4800,25021417200,2084,1070,1075,214,357
1607,25021417300,1054,210,259,19,65
1421,25021417400,651,301,256,105,108
3101,25021417501,1323,535,831,111,301
3029,25021417502,1117,864,619,91,338
2856,25021417601,1088,750,714,147,157
2677,25021417602,1344,441,721,59,112
3220,25021417701,1707,490,720,149,154
1621,25021417702,822,338,317,50,94
2862,25021417801,1517,430,447,236,232
1400,25021417802,338,501,300,78,183
3668,25021417901,1880,660,482,295,351
2111,25021417902,758,399,601,197,156
4096,25021418002,2090,800,732,158,316
1834,25021418003,1085,220,338,84,107
2584,25021418004,1042,577,611,169,185
2575,25021418101,1640,361,473,20,81
1950,25021418102,744,435,313,140,318
3886,25021418200,1542,854,905,339,246
3295,25021419100,1622,553,700,306,114
2664,25021419200,1246,393,670,144,211
2166,25021419300,802,339,588,212,225
1757,25021419400,709,227,382,284,155
1597,25021419500,1043,156,284,63,51
3810,25021419600,2282,591,486,270,181
2335,25021419700,1125,461,405,195,149
2193,25021419800,935,352,526,142,238
4846,25021420100,2148,886,1031,307,474
1857,25021420201,639,491,308,103,316
3777,25021420202,1473,925,907,157,315
3644,25021420301,1112,884,910,243,495
4124,25021420302,1358,1104,761,246,655
2842,25021421100,967,394,799,343,339
2985,25021421200,1580,439,463,269,234
3173,25021422100,1502,483,729,314,145
4468,25021422200,1927,865,829,452,395
1837,25021422301,791,353,340,182,171
4191,25021422302,2023,704,702,487,275
4089,25021422400,1635,600,1233,351,270
3048,25021422501,1218,578,687,380,185
3039,25021422502,1115,451,845,338,290
3998,25021422600,1831,587,781,348,451
2077,25021422700,862,400,422,184,209
2292,25021422800,1186,269,515,167,155
4025,25021423100,2482,329,894,195,125
5218,25021440100,2440,717,1114,576,371
1644,25021441202,804,199,378,141,122
2114,25021441203,1039,137,569,190,179
2674,25021441204,1476,306,598,189,105
3025,25021442101,1664,400,662,122,177
4575,25021442102,2807,600,772,144,252
3956,25021442103,2067,385,1092,159,253
2469,25021442201,1454,280,393,154,188
4456,25021442202,2286,541,983,397,249
4489,25021443101,2151,618,856,305,559
5697,25021443102,2318,896,1298,530,655
2087,25021456101,966,415,467,111,128
2974,25021456102,911,809,613,216,425
2449,25021456200,1029,436,533,147,304
1037,25021456301,341,209,156,153,178
