geoid,medianValue
25023540103,419000.0
25023541100,442700.0
25023542101,360300.0
25023542102,328600.0
25023542200,299600.0
25023542300,312800.0
25023543100,393800.0
25023544100,319400.0
25023544200,253400.0
25023545100,275500.0
25023545200,259700.0
25023545300,296100.0
25023545400,296700.0
25023560100,399600.0
25023561100,456400.0
25023561200,290000.0
25023990003,
25025000100,347800.0
25025000201,563300.0
25025000202,474800.0
25025000301,449300.0
25025000302,373000.0
25025000401,373200.0
25025000402,461900.0
25025000502,342700.0
25025000503,240600.0
25025000504,338700.0
25025000601,357300.0
25025000602,244600.0
25025000701,277300.0
25025000703,
25025000704,255400.0
25025000802,375800.0
25025000803,
25025010103,276700.0
25025010104,462800.0
25025010203,335100.0
25025010204,457400.0
25025010300,275000.0
25025010403,284600.0
25025010404,492000.0
25025010405,263600.0
25025010408,410800.0
25025010500,
25025010600,560200.0
25025010701,952000.0
25025010702,877700.0
25025010801,
25025010802,805200.0
25025020101,818900.0
25025020200,607100.0
25025020301,359600.0
25025020302,558400.0
25025020303,435800.0
25025030100,500000.0
25025030200,523400.0
25025030300,707700.0
25025030400,595700.0
25025030500,594800.0
25025040100,669400.0
25025040200,603800.0
25025040300,466600.0
25025040401,534200.0
25025040600,438600.0
25025040801,464900.0
25025050101,436600.0
25025050200,341000.0
25025050300,236800.0
25025050400,320900.0
25025050500,287300.0
25025050600,263300.0
25025050700,380600.0
25025050901,334600.0
25025051000,351000.0
25025051101,350700.0
25025051200,316300.0
25025060101,417900.0
25025060200,426400.0
25025060301,386700.0
25025060400,438300.0
25025060501,385200.0
25025060600,391700.0
25025060700,
25025060800,353500.0
25025061000,391800.0
25025061101,
25025061200,423700.0
25025070101,695900.0
25025070200,471800.0
25025070300,668300.0
25025070402,
25025070500,644800.0
25025070600,616700.0
25025070700,672100.0
25025070800,632600.0
25025070900,501600.0
25025071101,398300.0
25025071201,624400.0
25025080100,394400.0
25025080300,379200.0
25025080401,241900.0
25025080500,165100.0
25025080601,149600.0
25025080801,833300.0
25025080900,595900.0
25025081001,318900.0
25025081100,263200.0
25025081200,365800.0
25025081300,413800.0
25025081400,419900.0
25025081500,275000.0
25025081700,363700.0
25025081800,331200.0
25025081900,325500.0
25025082000,423200.0
25025082100,475500.0
25025090100,395200.0
25025090200,427900.0
25025090300,569600.0
25025090400,343500.0
25025090600,363300.0
25025090700,344400.0
25025090901,
25025091001,376000.0
25025091100,373700.0
25025091200,343800.0
25025091300,444400.0
25025091400,259500.0
25025091500,373300.0
25025091600,368200.0
25025091700,338200.0
25025091800,372500.0
25025091900,367400.0
25025092000,367900.0
25025092101,357900.0
25025092200,466200.0
25025092300,380400.0
25025092400,384500.0
25025100100,280400.0
25025100200,301400.0
25025100300,281300.0
25025100400,340900.0
25025100500,436500.0
25025100601,326500.0
25025100603,297200.0
25025100700,392300.0
25025100800,347600.0
25025100900,344000.0
25025101001,299300.0
25025101002,281500.0
25025101101,376900.0
25025101102,380500.0
25025110103,294100.0
25025110201,325800.0
25025110301,356600.0
25025110401,362600.0
25025110403,364000.0
25025110501,393000.0
25025110502,372300.0
25025110601,442500.0
25025110607,443700.0
25025120103,697700.0
25025120104,318700.0
25025120105,654300.0
25025120201,342000.0
25025120301,363400.0
25025120400,463500.0
25025120500,352500.0
25025120600,385900.0
25025120700,343100.0
25025130100,396700.0
25025130200,484700.0
25025130300,486700.0
25025130402,347900.0
25025130404,355600.0
25025130406,334300.0
25025140102,351000.0
25025140105,342600.0
25025140106,346300.0
25025140107,341300.0
25025140201,346000.0
25025140202,359500.0
25025140300,355500.0
25025140400,349000.0
25025160101,342000.0
25025160200,257400.0
25025160300,329500.0
25025160400,297200.0
25025160501,316400.0
25025160502,316200.0
25025160601,323600.0
25025160602,309600.0
25025170100,343200.0
25025170200,410400.0
25025170300,351400.0
25025170400,288800.0
25025170501,301700.0
25025170502,309400.0
25025170601,339400.0
25025170701,234900.0
25025170702,316900.0
25025170800,353400.0
25025180101,361000.0
25025180200,391100.0
25025180301,459200.0
25025180400,413800.0
25025180500,382100.0
25025980101,
25025980300,
25025980700,
25025981000,
25025981100,
25025981201,
25025981202,
25025981300,291300.0
25025981501,
25025981502,
25025981600,
25025981700,
25025981800,658100.0
25025990101,
