medianValue,geoid
380400.0,25021418102
394300.0,25021418200
505900.0,25021419100
457800.0,25021419200
419800.0,25021419300
396900.0,25021419400
507900.0,25021419500
455500.0,25021419600
460600.0,25021419700
418300.0,25021419800
310500.0,25021420100
342700.0,25021420201
359200.0,25021420202
308400.0,25021420301
349100.0,25021420302
324000.0,25021421100
325500.0,25021421200
403700.0,25021422100
400500.0,25021422200
413000.0,25021422301
340600.0,25021422302
366800.0,25021422400
390600.0,25021422501
361600.0,25021422502
367100.0,25021422600
359900.0,25021422700
375700.0,25021422800
872100.0,25021423100
337700.0,25021440100
530600.0,25021441202
354700.0,25021441203
464600.0,25021441204
422100.0,25021442101
388000.0,25021442102
465400.0,25021442103
513000.0,25021442201
410800.0,25021442202
292500.0,25021443101
335100.0,25021443102
375400.0,25021456101
354500.0,25021456102
352600.0,25021456200
268000.0,25021456301
282600.0,25021456302
332200.0,25021456401
396600.0,25021456402
331500.0,25021457100
822700.0,25021457200
457400.0,25023500101
358000.0,25023500103
398000.0,25023500104
859500.0,25023501101
824000.0,25023501102
789600.0,25023501201
688200.0,25023501202
320800.0,25023502101
320800.0,25023502102
296200.0,25023502200
486700.0,25023503101
540700.0,25023503102
541400.0,25023504101
661900.0,25023504102
623800.0,25023505101
583200.0,25023505102
573300.0,25023505200
513500.0,25023506101
575800.0,25023506102
466800.0,25023506202
391200.0,25023506203
380300.0,25023506204
544700.0,25023507101
899900.0,25023507103
665700.0,25023507104
450100.0,25023508101
337700.0,25023508102
413800.0,25023508200
459100.0,25023509101
315800.0,25023509102
248200.0,25023510100
249500.0,25023510200
240700.0,25023510300
239800.0,25023510400
256800.0,25023510501
167700.0,25023510502
310500.0,25023510503
318000.0,25023510600
297000.0,25023510700
292800.0,25023510800
225600.0,25023510900
251300.0,25023511000
248100.0,25023511100
260000.0,25023511200
260600.0,25023511301
252400.0,25023511302
265900.0,25023511400
250000.0,25023511500
252700.0,25023511600
292500.0,25023511701
307400.0,25023511702
351900.0,25023520100
345100.0,25023520201
376700.0,25023520202
329200.0,25023521101
297000.0,25023521102
331900.0,25023521201
346100.0,25023521202
349700.0,25023522101
376800.0,25023522102
345000.0,25023523100
348700.0,25023523201
356100.0,25023523202
373700.0,25023524101
340200.0,25023524102
373300.0,25023525101
370900.0,25023525104
314800.0,25023525203
393400.0,25023525204
,25023525300
299300.0,25023526100
315500.0,25023530100
324300.0,25023530200
344200.0,25023530300
349900.0,25023530400
390300.0,25023530500
359500.0,25023530600
528500.0,25023530700
423400.0,25023530801
368700.0,25023530802
343400.0,25023530901
359500.0,25023530902
343600.0,25023540101
354600.0,25023540102
403500.0,25023540103
409500.0,25023541100
333100.0,25023542101
301700.0,25023542102
291900.0,25023542200
294800.0,25023542300
383600.0,25023543100
315800.0,25023544100
256500.0,25023544200
269900.0,25023545100
264500.0,25023545200
254100.0,25023545300
360200.0,25023545400
469900.0,25023560100
483500.0,25023561100
335000.0,25023561200
,25023990003
554400.0,25025000100
593400.0,25025000201
620000.0,25025000202
562200.0,25025000301
501900.0,25025000302
620400.0,25025000401
608700.0,25025000402
540800.0,25025000502
362700.0,25025000503
456600.0,25025000504
395700.0,25025000601
,25025000602
424800.0,25025000701
,25025000703
382500.0,25025000704
607900.0,25025000802
,25025000803
345200.0,25025010103
813100.0,25025010104
448000.0,25025010203
488900.0,25025010204
375000.0,25025010300
,25025010403
566800.0,25025010404
609400.0,25025010405
528100.0,25025010408
937500.0,25025010500
1154900.0,25025010600
1082300.0,25025010701
1153500.0,25025010702
1431000.0,25025010801
1083300.0,25025010802
1185200.0,25025020101
749100.0,25025020200
544800.0,25025020301
1015400.0,25025020302
621700.0,25025020303
588100.0,25025030100
535500.0,25025030200
1043300.0,25025030300
790900.0,25025030400
863000.0,25025030500
764000.0,25025040100
1003600.0,25025040200
697900.0,25025040300
1001000.0,25025040401
680000.0,25025040600
691600.0,25025040801
415400.0,25025050101
440100.0,25025050200
,25025050300
461800.0,25025050400
284900.0,25025050500
513200.0,25025050600
504200.0,25025050700
362200.0,25025050901
441600.0,25025051000
495300.0,25025051101
473700.0,25025051200
734700.0,25025060101
601100.0,25025060200
702400.0,25025060301
630800.0,25025060400
617600.0,25025060501
669900.0,25025060600
,25025060700
603000.0,25025060800
682900.0,25025061000
,25025061101
732300.0,25025061200
965000.0,25025070101
700400.0,25025070200
1025400.0,25025070300
1016700.0,25025070402
1046300.0,25025070500
1133500.0,25025070600
1143800.0,25025070700
792200.0,25025070800
858700.0,25025070900
778800.0,25025071101
713800.0,25025071201
477600.0,25025080100
287900.0,25025080300
523000.0,25025080401
512100.0,25025080500
356800.0,25025080601
,25025080801
475000.0,25025080900
,25025081001
433500.0,25025081100
628200.0,25025081200
484100.0,25025081300
444100.0,25025081400
436300.0,25025081500
499300.0,25025081700
422400.0,25025081800
582400.0,25025081900
491700.0,25025082000
579400.0,25025082100
