geoid,total (occupation),top_occ,service,sales,nat_construction,production
25021422302,3825,1847,448,904,296,330
25021422400,4207,1477,666,1080,612,372
25021422501,2694,955,535,819,197,188
25021422502,2668,693,465,873,400,237
25021422600,3310,1483,312,943,461,111
25021422700,2125,709,480,609,147,180
25021422800,1990,859,178,632,196,125
25021423100,3157,2084,104,715,135,119
25021440100,4449,1951,608,1349,331,210
25021441202,1487,780,160,367,104,76
25021441203,2085,922,281,486,243,153
25021441204,2206,1063,124,732,88,199
25021442101,2894,1432,367,791,209,95
25021442102,3672,1709,619,946,261,137
25021442103,3304,1798,348,865,135,158
25021442201,1980,1147,180,472,123,58
25021442202,3957,1751,516,941,486,263
25021443101,3910,1750,416,997,443,304
25021443102,4725,1643,479,1238,586,779
25021456101,1901,750,305,571,148,127
25021456102,2609,949,475,469,229,487
25021456200,1490,627,220,357,150,136
25021456301,845,198,217,226,67,137
25021456302,2629,1060,371,775,140,283
25021456401,1413,446,241,484,164,78
25021456402,2886,1314,397,806,137,232
25021457100,2233,711,523,650,201,148
25021457200,2897,1844,288,638,47,80
25023500101,2200,829,424,500,372,75
25023500103,1614,666,259,326,277,86
25023500104,2244,842,408,556,218,220
25023501101,1545,567,239,417,136,186
25023501102,3967,2044,432,1168,239,84
25023501201,1735,1003,185,458,18,71
25023501202,2880,1820,242,608,108,102
25023502101,2934,759,570,1004,358,243
25023502102,2646,742,461,926,234,283
25023502200,3417,1246,475,1055,378,263
25023503101,3333,1559,314,953,300,207
25023503102,3224,1335,595,752,297,245
25023504101,2379,1301,262,637,142,37
25023504102,2326,1358,218,609,79,62
25023505101,3331,1672,371,818,301,169
25023505102,2425,1070,283,740,232,100
25023505200,3064,1651,277,847,144,145
25023506101,3017,1512,342,750,290,123
25023506102,3404,1698,283,818,375,230
25023506202,1350,682,65,465,51,87
25023506203,2602,1112,392,790,231,77
25023506204,2487,868,247,735,465,172
25023507101,2334,1314,283,482,154,101
25023507103,1830,1106,99,567,29,29
25023507104,2154,1282,137,539,140,56
25023508101,3398,1332,649,867,280,270
25023508102,2759,969,352,855,413,170
25023508200,3349,1527,553,858,204,207
25023509101,2784,1400,297,711,216,160
25023509102,3185,1352,418,783,451,181
25023510100,2244,601,208,833,230,372
25023510200,3245,904,650,812,367,512
25023510300,1390,115,458,301,82,434
25023510400,1626,275,406,389,69,487
25023510501,1773,511,467,380,175,240
25023510502,2688,733,736,660,117,442
25023510503,1791,546,515,360,108,262
25023510600,1307,523,219,321,115,129
25023510700,2789,797,686,731,306,269
25023510800,2593,476,945,524,79,569
25023510900,596,75,107,180,0,234
25023511000,1316,316,313,367,147,173
25023511100,3026,805,640,889,295,397
25023511200,2249,459,541,496,198,555
25023511301,2585,811,578,754,203,239
25023511302,1790,509,306,632,84,259
25023511400,1846,491,431,346,113,465
25023511500,2189,383,750,488,172,396
25023511600,3280,972,694,966,250,398
25023511701,2429,793,431,706,198,301
25023511702,1542,470,203,575,116,178
25023520100,3516,1003,352,1441,485,235
25023520201,2032,521,367,662,218,264
25023520202,2963,1364,488,660,226,225
25023521101,2296,827,367,601,254,247
25023521102,1715,593,227,518,285,92
25023521201,1502,359,275,450,237,181
25023521202,2120,630,470,490,414,116
25023522101,2405,778,308,750,361,208
25023522102,3012,966,435,955,385,271
25023523100,1880,714,269,476,189,232
25023523201,1707,554,398,395,159,201
25023523202,3918,1271,709,1154,419,365
25023524101,1486,594,198,427,130,137
25023524102,1902,788,174,608,139,193
25023525101,3457,1033,469,1295,322,338
25023525104,3417,1497,491,967,250,212
25023525203,2793,1214,299,704,282,294
25023525204,1665,792,230,430,137,76
25023525300,0,0,0,0,0,0
25023526100,4200,1418,648,915,699,520
25023530100,2141,759,420,634,209,119
25023530200,1943,605,353,398,152,435
25023530300,1964,756,481,365,295,67
25023530400,2895,1167,387,651,403,287
25023530500,2446,1125,414,645,146,116
25023530600,2666,878,654,590,276,268
25023530700,1790,859,264,444,68,155
25023530801,2625,985,504,767,232,137
25023530802,2561,1042,473,645,206,195
25023530901,4100,1563,622,1285,381,249
25023530902,2535,846,592,610,344,143
25023540101,1910,798,206,417,270,219
25023540102,1421,592,226,270,126,207
25023540103,2454,1002,347,712,227,166
25023541100,2811,1179,489,628,304,211
25023542101,3471,1204,665,750,540,312
25023542102,1253,376,136,451,105,185
25023542200,2649,785,320,714,448,382
25023542300,3074,944,701,748,296,385
25023543100,1356,583,203,263,187,120
25023544100,3045,1121,430,799,358,337
25023544200,2796,807,311,1084,281,313
25023545100,3062,971,626,847,352,266
25023545200,3283,783,656,994,479,371
25023545300,1944,420,387,758,316,63
25023545400,2754,1110,360,811,186,287
25023560100,3243,1477,520,726,186,334
25023561100,2394,1277,229,572,182,134
25023561200,1077,148,289,464,77,99
25023990003,0,0,0,0,0,0
25025000100,2299,567,730,428,234,340
25025000201,2607,1192,349,770,108,188
25025000202,2395,948,486,547,375,39
25025000301,1774,1056,217,333,63,105
25025000302,2202,1241,488,379,35,59
25025000401,3059,1883,470,605,89,12
25025000402,2162,1348,312,357,78,67
25025000502,2048,1443,133,413,0,59
25025000503,1533,1080,61,345,47,0
25025000504,3508,2161,452,732,35,128
25025000601,2330,1494,264,522,25,25
25025000602,2148,858,815,450,16,9
25025000701,2959,1688,443,568,50,210
25025000703,1666,600,525,428,61,52
25025000704,3387,1876,745,518,46,202
25025000802,5223,2057,1445,1158,142,421
25025000803,875,373,278,165,0,59
25025010103,1513,431,300,733,14,35
25025010104,2916,1667,392,779,27,51
25025010203,2833,2193,260,302,0,78
25025010204,1406,809,220,320,0,57
25025010300,2704,667,814,1216,0,7
25025010403,1710,969,321,324,51,45
25025010404,2602,1079,623,761,60,79
25025010405,1479,482,374,565,0,58
25025010408,1049,855,100,94,0,0
25025010500,1700,1082,129,417,64,8
25025010600,1795,1412,114,256,13,0
25025010701,1582,1031,108,443,0,0
25025010702,1857,1362,80,404,0,11
25025010801,2168,1390,288,472,18,0
25025010802,1947,1621,29,285,0,12
25025020101,2940,2321,155,422,23,19
