"GEO_ID","B12001_001E","B12001_001M","B12001_002E","B12001_002M","B12001_003E","B12001_003M","B12001_004E","B12001_004M","B12001_005E","B12001_005M","B12001_006E","B12001_006M","B12001_007E","B12001_007M","B12001_008E","B12001_008M","B12001_009E","B12001_009M","B12001_010E","B12001_010M","B12001_011E","B12001_011M","B12001_012E","B12001_012M","B12001_013E","B12001_013M","B12001_014E","B12001_014M","B12001_015E","B12001_015M","B12001_016E","B12001_016M","B12001_017E","B12001_017M","B12001_018E","B12001_018M","B12001_019E","B12001_019M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Never married","Margin of Error!!Total!!Male!!Never married","Estimate!!Total!!Male!!Now married","Margin of Error!!Total!!Male!!Now married","Estimate!!Total!!Male!!Now married!!Married, spouse present","Margin of Error!!Total!!Male!!Now married!!Married, spouse present","Estimate!!Total!!Male!!Now married!!Married, spouse absent","Margin of Error!!Total!!Male!!Now married!!Married, spouse absent","Estimate!!Total!!Male!!Now married!!Married, spouse absent!!Separated","Margin of Error!!Total!!Male!!Now married!!Married, spouse absent!!Separated","Estimate!!Total!!Male!!Now married!!Married, spouse absent!!Other","Margin of Error!!Total!!Male!!Now married!!Married, spouse absent!!Other","Estimate!!Total!!Male!!Widowed","Margin of Error!!Total!!Male!!Widowed","Estimate!!Total!!Male!!Divorced","Margin of Error!!Total!!Male!!Divorced","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Never married","Margin of Error!!Total!!Female!!Never married","Estimate!!Total!!Female!!Now married","Margin of Error!!Total!!Female!!Now married","Estimate!!Total!!Female!!Now married!!Married, spouse present","Margin of Error!!Total!!Female!!Now married!!Married, spouse present","Estimate!!Total!!Female!!Now married!!Married, spouse absent","Margin of Error!!Total!!Female!!Now married!!Married, spouse absent","Estimate!!Total!!Female!!Now married!!Married, spouse absent!!Separated","Margin of Error!!Total!!Female!!Now married!!Married, spouse absent!!Separated","Estimate!!Total!!Female!!Now married!!Married, spouse absent!!Other","Margin of Error!!Total!!Female!!Now married!!Married, spouse absent!!Other","Estimate!!Total!!Female!!Widowed","Margin of Error!!Total!!Female!!Widowed","Estimate!!Total!!Female!!Divorced","Margin of Error!!Total!!Female!!Divorced","Geographic Area Name"
"1400000US25009252602","3556","255","1811","162","516","130","1115","136","1044","128","71","46","43","35","28","35","90","77","90","75","1745","143","382","111","1055","122","1028","123","27","31","0","127","27","31","148","83","160","72","Census Tract 2526.02, Essex County, Massachusetts"
"1400000US25009252603","2388","200","1190","116","313","85","698","117","640","112","58","47","0","127","58","47","8","13","171","92","1198","168","286","124","661","104","638","107","23","36","0","127","23","36","137","56","114","70","Census Tract 2526.03, Essex County, Massachusetts"
"1400000US25009253100","3736","286","1671","165","472","146","1037","137","1013","128","24","31","13","21","11","19","71","53","91","63","2065","200","631","153","1055","133","992","126","63","48","0","127","63","48","181","78","198","83","Census Tract 2531, Essex County, Massachusetts"
"1400000US25009253201","2203","190","941","143","384","152","463","95","455","94","8","12","0","127","8","12","36","26","58","43","1262","143","329","112","495","96","446","92","49","37","11","17","38","32","214","92","224","96","Census Tract 2532.01, Essex County, Massachusetts"
"1400000US25009253202","6159","481","2882","316","1197","275","1342","167","1277","160","65","70","13","20","52","61","123","97","220","112","3277","315","1262","308","1334","165","1270","148","64","64","0","127","64","64","230","95","451","141","Census Tract 2532.02, Essex County, Massachusetts"
"1400000US25009253203","3143","180","1533","141","399","125","1029","105","999","106","30","33","0","127","30","33","23","25","82","59","1610","134","258","99","1104","114","994","105","110","88","0","127","110","88","204","62","44","39","Census Tract 2532.03, Essex County, Massachusetts"
"1400000US25009253204","3604","253","1810","144","381","115","1226","104","1149","114","77","51","39","49","38","35","31","29","172","98","1794","190","430","109","1195","116","1129","108","66","46","39","31","27","35","75","78","94","55","Census Tract 2532.04, Essex County, Massachusetts"
"1400000US25009253205","3091","155","1583","124","421","120","1043","78","1032","77","11","17","11","17","0","127","26","26","93","44","1508","129","317","112","1015","77","1015","77","0","127","0","127","0","127","65","38","111","52","Census Tract 2532.05, Essex County, Massachusetts"
"1400000US25009254100","4795","298","2161","228","509","187","1374","147","1331","146","43","40","27","31","16","25","74","56","204","119","2634","204","582","165","1344","140","1314","141","30","34","15","25","15","22","268","97","440","142","Census Tract 2541, Essex County, Massachusetts"
"1400000US25009254200","3478","285","1572","167","562","140","886","95","854","95","32","30","20","23","12","18","71","37","53","52","1906","204","467","168","903","106","847","94","56","43","12","19","44","37","324","114","212","91","Census Tract 2542, Essex County, Massachusetts"
"1400000US25009254301","2994","181","1439","119","366","104","980","62","945","61","35","34","0","127","35","34","57","37","36","27","1555","174","276","134","1007","71","943","67","64","47","27","33","37","38","118","57","154","71","Census Tract 2543.01, Essex County, Massachusetts"
"1400000US25009254302","3594","167","1782","120","440","112","1215","86","1191","96","24","28","0","127","24","28","32","50","95","59","1812","108","315","88","1216","88","1188","91","28","26","15","17","13","20","150","70","131","60","Census Tract 2543.02, Essex County, Massachusetts"
"1400000US25009254401","2478","189","1219","164","290","127","916","86","904","87","12","19","0","127","12","19","0","127","13","22","1259","106","174","79","959","84","904","87","55","77","55","77","0","127","52","45","74","53","Census Tract 2544.01, Essex County, Massachusetts"
"1400000US25009254402","5015","378","2408","216","634","176","1673","151","1625","145","48","54","4","10","44","55","61","45","40","46","2607","257","599","184","1710","167","1607","135","103","105","0","127","103","105","117","70","181","72","Census Tract 2544.02, Essex County, Massachusetts"
"1400000US25009254403","3276","193","1552","135","416","120","1048","74","1024","81","24","24","0","127","24","24","33","34","55","43","1724","151","294","91","1056","75","1005","74","51","26","17","20","34","22","234","98","140","57","Census Tract 2544.03, Essex County, Massachusetts"
"1400000US25009260100","3294","325","1775","259","760","237","676","161","498","142","178","114","91","81","87","74","51","53","288","112","1519","193","535","150","594","159","474","130","120","85","33","28","87","80","184","73","206","97","Census Tract 2601, Essex County, Massachusetts"
"1400000US25009260200","2662","397","1116","201","494","157","508","111","434","103","74","56","43","42","31","36","73","44","41","30","1546","252","452","203","606","131","432","109","174","101","128","86","46","49","251","82","237","97","Census Tract 2602, Essex County, Massachusetts"
"1400000US25009260301","3739","251","1774","146","513","138","1013","139","924","129","89","77","31","46","58","63","89","61","159","66","1965","196","520","155","983","122","901","122","82","57","42","34","40","46","289","97","173","74","Census Tract 2603.01, Essex County, Massachusetts"
"1400000US25009260302","2377","230","1179","148","289","104","773","97","670","104","103","76","39","49","64","57","44","47","73","38","1198","156","212","76","703","107","664","106","39","30","19","20","20","21","97","62","186","79","Census Tract 2603.02, Essex County, Massachusetts"
"1400000US25009260401","3381","176","1680","150","613","156","944","129","912","115","32","49","0","127","32","49","36","34","87","57","1701","148","443","136","943","110","899","109","44","37","15","24","29","29","100","58","215","90","Census Tract 2604.01, Essex County, Massachusetts"
"1400000US25009260402","4939","322","2323","216","612","169","1340","154","1340","154","0","127","0","127","0","127","48","39","323","140","2616","234","649","184","1334","157","1317","155","17","25","0","127","17","25","187","91","446","116","Census Tract 2604.02, Essex County, Massachusetts"
"1400000US25009260500","3329","272","1551","142","406","121","952","116","844","105","108","84","80","73","28","29","78","59","115","60","1778","194","464","145","913","114","841","102","72","48","0","127","72","48","196","101","205","84","Census Tract 2605, Essex County, Massachusetts"
"1400000US25009260600","2427","199","1201","174","496","160","535","118","487","109","48","55","15","20","33","51","0","127","170","92","1226","124","393","118","476","101","462","103","14","17","14","17","0","127","68","41","289","116","Census Tract 2606, Essex County, Massachusetts"
"1400000US25009260700","3382","256","1637","167","607","155","836","120","792","114","44","37","15","23","29","28","122","83","72","44","1745","182","458","139","902","131","785","109","117","70","86","63","31","29","217","120","168","83","Census Tract 2607, Essex County, Massachusetts"
"1400000US25009260800","3908","366","1893","254","1007","237","746","171","613","144","133","84","47","53","86","67","33","30","107","61","2015","248","938","250","671","151","578","130","93","74","34","46","59","61","146","67","260","104","Census Tract 2608, Essex County, Massachusetts"
"1400000US25009260900","3708","387","1543","230","529","148","802","198","713","169","89","82","44","47","45","66","82","61","130","76","2165","289","758","195","871","276","682","164","189","217","32","35","157","220","184","89","352","145","Census Tract 2609, Essex County, Massachusetts"
"1400000US25009261000","3246","310","1483","183","560","166","611","122","592","113","19","23","12","20","7","12","67","54","245","118","1763","227","671","202","694","135","590","111","104","71","104","71","0","127","133","74","265","82","Census Tract 2610, Essex County, Massachusetts"
"1400000US25009261101","3332","340","1623","160","273","116","1231","133","1219","135","12","20","12","20","0","127","35","31","84","48","1709","212","301","119","1202","136","1202","136","0","127","0","127","0","127","141","64","65","56","Census Tract 2611.01, Essex County, Massachusetts"
"1400000US25009261102","4119","239","2016","174","810","157","1037","142","966","132","71","57","35","39","36","40","7","13","162","71","2103","166","626","175","1053","128","943","129","110","74","46","53","64","58","34","30","390","114","Census Tract 2611.02, Essex County, Massachusetts"
"1400000US25009262100","5058","148","2468","162","590","154","1461","162","1364","151","97","89","97","89","0","127","87","74","330","141","2590","149","556","162","1424","148","1344","147","80","90","80","90","0","127","257","111","353","137","Census Tract 2621, Essex County, Massachusetts"
"1400000US25009263100","3299","116","1666","113","480","107","1109","82","1054","72","55","58","0","127","55","58","11","17","66","38","1633","81","344","91","1084","70","1039","73","45","36","15","22","30","30","102","49","103","52","Census Tract 2631, Essex County, Massachusetts"
