"GEO_ID","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Built 2005 or later","Margin of Error!!Total!!Built 2005 or later","Estimate!!Total!!Built 2000 to 2004","Margin of Error!!Total!!Built 2000 to 2004","Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1960 to 1969","Margin of Error!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Estimate!!Total!!Built 1940 to 1949","Margin of Error!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier","Geographic Area Name"
"1400000US25017324101","1728","93","29","33","141","66","257","98","87","82","222","100","193","84","417","116","80","50","302","114","Census Tract 3241.01, Middlesex County, Massachusetts"
"1400000US25017324102","1472","69","47","33","106","40","144","61","281","80","323","99","79","44","248","89","52","52","192","86","Census Tract 3241.02, Middlesex County, Massachusetts"
"1400000US25017325100","3358","441","160","98","161","74","467","137","343","149","439","153","405","193","325","114","243","130","815","242","Census Tract 3251, Middlesex County, Massachusetts"
"1400000US25017326101","1328","80","32","36","178","63","287","82","263","115","111","90","47","45","28","33","80","85","302","106","Census Tract 3261.01, Middlesex County, Massachusetts"
"1400000US25017326102","2446","139","102","70","129","73","560","132","399","115","296","106","271","121","345","123","55","46","289","125","Census Tract 3261.02, Middlesex County, Massachusetts"
"1400000US25017327101","1247","56","22","21","52","30","329","85","356","91","188","73","82","72","80","71","0","127","138","54","Census Tract 3271.01, Middlesex County, Massachusetts"
"1400000US25017327102","1612","86","0","127","42","29","123","51","353","100","247","74","248","106","159","90","39","31","401","90","Census Tract 3271.02, Middlesex County, Massachusetts"
"1400000US25017327103","1470","63","11","17","77","46","215","73","504","106","322","74","141","68","42","33","40","33","118","54","Census Tract 3271.03, Middlesex County, Massachusetts"
"1400000US25017328100","1057","48","44","35","149","41","206","68","193","59","86","34","137","40","82","40","31","21","129","39","Census Tract 3281, Middlesex County, Massachusetts"
"1400000US25017330100","2852","114","76","54","145","74","456","117","494","134","267","84","482","125","528","148","162","72","242","100","Census Tract 3301, Middlesex County, Massachusetts"
"1400000US25017330200","2456","96","193","77","122","63","341","89","63","52","411","119","232","105","567","142","241","101","286","131","Census Tract 3302, Middlesex County, Massachusetts"
"1400000US25017331101","1180","36","42","33","108","61","309","77","39","30","104","60","148","47","336","71","39","28","55","35","Census Tract 3311.01, Middlesex County, Massachusetts"
"1400000US25017331102","2238","83","51","32","68","76","202","98","134","71","243","79","443","140","509","125","83","57","505","155","Census Tract 3311.02, Middlesex County, Massachusetts"
"1400000US25017331200","1735","66","9","14","136","59","108","52","160","64","240","70","224","75","255","87","278","75","325","89","Census Tract 3312, Middlesex County, Massachusetts"
"1400000US25017331300","2252","64","18","28","205","90","660","142","257","93","169","78","353","108","287","101","87","62","216","101","Census Tract 3313, Middlesex County, Massachusetts"
"1400000US25017332100","2078","89","37","46","81","61","70","49","259","65","264","82","653","126","605","137","75","56","34","38","Census Tract 3321, Middlesex County, Massachusetts"
"1400000US25017332200","3156","129","208","101","205","93","336","135","609","145","662","147","424","121","454","138","40","37","218","103","Census Tract 3322, Middlesex County, Massachusetts"
"1400000US25017332300","2664","87","110","66","0","127","123","90","136","80","384","121","815","181","972","180","31","36","93","56","Census Tract 3323, Middlesex County, Massachusetts"
"1400000US25017332400","1465","51","296","80","84","48","219","74","85","59","60","38","275","74","307","93","34","33","105","60","Census Tract 3324, Middlesex County, Massachusetts"
"1400000US25017333100","3160","78","95","69","106","85","384","112","389","116","488","165","518","138","1125","168","0","127","55","45","Census Tract 3331, Middlesex County, Massachusetts"
"1400000US25017333200","2219","64","15","22","135","73","100","72","195","104","103","68","116","70","505","121","79","65","971","158","Census Tract 3332, Middlesex County, Massachusetts"
"1400000US25017333300","1875","76","0","127","31","24","31","28","156","83","88","60","192","79","321","112","94","53","962","142","Census Tract 3333, Middlesex County, Massachusetts"
