"GEO_ID","B05001_001E","B05001_001M","B05001_002E","B05001_002M","B05001_003E","B05001_003M","B05001_004E","B05001_004M","B05001_005E","B05001_005M","B05001_006E","B05001_006M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Geographic Area Name"
"1400000US25021421200","5433","226","4441","388","65","78","114","98","416","190","397","313","Census Tract 4212, Norfolk County, Massachusetts"
"1400000US25021422100","5346","277","5074","308","0","127","20","23","150","120","102","92","Census Tract 4221, Norfolk County, Massachusetts"
"1400000US25021422200","6969","455","6175","367","0","127","13","19","265","135","516","296","Census Tract 4222, Norfolk County, Massachusetts"
"1400000US25021422301","2946","252","2633","204","0","127","8","14","145","73","160","102","Census Tract 4223.01, Norfolk County, Massachusetts"
"1400000US25021422302","6326","300","5558","326","0","127","46","63","372","116","350","129","Census Tract 4223.02, Norfolk County, Massachusetts"
"1400000US25021422400","7995","347","7196","396","16","29","17","27","395","146","371","196","Census Tract 4224, Norfolk County, Massachusetts"
"1400000US25021422501","4729","348","4177","366","0","127","242","267","156","90","154","97","Census Tract 4225.01, Norfolk County, Massachusetts"
"1400000US25021422502","5273","349","4942","367","0","127","0","127","141","62","190","121","Census Tract 4225.02, Norfolk County, Massachusetts"
"1400000US25021422600","6326","247","5663","375","18","28","138","105","400","280","107","76","Census Tract 4226, Norfolk County, Massachusetts"
"1400000US25021422700","3735","303","3408","331","0","127","37","44","279","150","11","18","Census Tract 4227, Norfolk County, Massachusetts"
"1400000US25021422800","3697","290","3203","339","11","17","33","35","380","226","70","60","Census Tract 4228, Norfolk County, Massachusetts"
"1400000US25021423100","7434","19","7049","176","0","127","92","61","168","132","125","74","Census Tract 4231, Norfolk County, Massachusetts"
"1400000US25021440100","8091","15","7593","154","0","127","60","50","244","116","194","97","Census Tract 4401, Norfolk County, Massachusetts"
"1400000US25021441202","2725","192","2681","194","0","127","13","21","22","19","9","17","Census Tract 4412.02, Norfolk County, Massachusetts"
"1400000US25021441203","3750","233","3542","234","0","127","13","22","152","116","43","48","Census Tract 4412.03, Norfolk County, Massachusetts"
"1400000US25021441204","4337","240","4129","245","0","127","35","53","136","93","37","35","Census Tract 4412.04, Norfolk County, Massachusetts"
"1400000US25021442101","5624","552","4986","477","0","127","61","56","230","114","347","178","Census Tract 4421.01, Norfolk County, Massachusetts"
"1400000US25021442102","7234","238","6560","296","0","127","67","70","213","137","394","165","Census Tract 4421.02, Norfolk County, Massachusetts"
"1400000US25021442103","6708","289","6076","291","33","39","82","87","336","126","181","140","Census Tract 4421.03, Norfolk County, Massachusetts"
"1400000US25021442201","3922","160","3612","202","0","127","47","41","148","77","115","100","Census Tract 4422.01, Norfolk County, Massachusetts"
"1400000US25021442202","7535","446","6776","466","24","40","0","127","285","156","450","308","Census Tract 4422.02, Norfolk County, Massachusetts"
"1400000US25021443101","7640","380","7050","444","12","18","20","30","373","146","185","119","Census Tract 4431.01, Norfolk County, Massachusetts"
"1400000US25021443102","8377","378","7865","442","0","127","60","42","231","106","221","135","Census Tract 4431.02, Norfolk County, Massachusetts"
"1400000US25021456101","3656","229","2984","257","11","19","16","22","442","153","203","166","Census Tract 4561.01, Norfolk County, Massachusetts"
