"GEO_ID","B25077_001E","B25077_001M","NAME"
"id","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Geographic Area Name"
"1400000US25017314101","294900","11553","Census Tract 3141.01, Middlesex County, Massachusetts"
"1400000US25017314102","276900","18413","Census Tract 3141.02, Middlesex County, Massachusetts"
"1400000US25017314200","307100","28042","Census Tract 3142, Middlesex County, Massachusetts"
"1400000US25017314301","292600","20640","Census Tract 3143.01, Middlesex County, Massachusetts"
"1400000US25017314302","388600","25176","Census Tract 3143.02, Middlesex County, Massachusetts"
"1400000US25017315100","389000","16894","Census Tract 3151, Middlesex County, Massachusetts"
"1400000US25017315200","371700","13142","Census Tract 3152, Middlesex County, Massachusetts"
"1400000US25017315401","325500","11958","Census Tract 3154.01, Middlesex County, Massachusetts"
"1400000US25017315402","370600","18021","Census Tract 3154.02, Middlesex County, Massachusetts"
"1400000US25017315403","343700","13026","Census Tract 3154.03, Middlesex County, Massachusetts"
"1400000US25017315500","342600","14263","Census Tract 3155, Middlesex County, Massachusetts"
"1400000US25017316101","380800","15436","Census Tract 3161.01, Middlesex County, Massachusetts"
"1400000US25017316102","381900","14336","Census Tract 3161.02, Middlesex County, Massachusetts"
"1400000US25017316201","368300","15705","Census Tract 3162.01, Middlesex County, Massachusetts"
"1400000US25017316202","360700","13840","Census Tract 3162.02, Middlesex County, Massachusetts"
"1400000US25017316300","337000","19163","Census Tract 3163, Middlesex County, Massachusetts"
"1400000US25017316400","346700","10109","Census Tract 3164, Middlesex County, Massachusetts"
"1400000US25017316500","358100","13681","Census Tract 3165, Middlesex County, Massachusetts"
"1400000US25017317101","329300","24865","Census Tract 3171.01, Middlesex County, Massachusetts"
"1400000US25017317102","350200","12935","Census Tract 3171.02, Middlesex County, Massachusetts"
"1400000US25017317103","386600","12601","Census Tract 3171.03, Middlesex County, Massachusetts"
"1400000US25017317201","432000","16606","Census Tract 3172.01, Middlesex County, Massachusetts"
"1400000US25017317202","416800","21238","Census Tract 3172.02, Middlesex County, Massachusetts"
"1400000US25017317203","335800","7949","Census Tract 3172.03, Middlesex County, Massachusetts"
"1400000US25017317301","350300","21175","Census Tract 3173.01, Middlesex County, Massachusetts"
"1400000US25017317302","291700","12177","Census Tract 3173.02, Middlesex County, Massachusetts"
"1400000US25017318100","407200","28903","Census Tract 3181, Middlesex County, Massachusetts"
"1400000US25017318200","361000","15828","Census Tract 3182, Middlesex County, Massachusetts"
"1400000US25017318300","492900","25849","Census Tract 3183, Middlesex County, Massachusetts"
"1400000US25017318400","509600","40878","Census Tract 3184, Middlesex County, Massachusetts"
"1400000US25017320102","544100","28093","Census Tract 3201.02, Middlesex County, Massachusetts"
"1400000US25017320103","555000","89209","Census Tract 3201.03, Middlesex County, Massachusetts"
"1400000US25017320104","539900","35820","Census Tract 3201.04, Middlesex County, Massachusetts"
"1400000US25017321100","365600","12946","Census Tract 3211, Middlesex County, Massachusetts"
"1400000US25017321200","309900","21560","Census Tract 3212, Middlesex County, Massachusetts"
"1400000US25017321300","328900","20497","Census Tract 3213, Middlesex County, Massachusetts"
"1400000US25017321400","353900","12403","Census Tract 3214, Middlesex County, Massachusetts"
"1400000US25017321500","346900","20002","Census Tract 3215, Middlesex County, Massachusetts"
"1400000US25017321600","351000","16295","Census Tract 3216, Middlesex County, Massachusetts"
"1400000US25017322100","376100","22003","Census Tract 3221, Middlesex County, Massachusetts"
"1400000US25017322200","362000","16085","Census Tract 3222, Middlesex County, Massachusetts"
"1400000US25017322300","302500","15673","Census Tract 3223, Middlesex County, Massachusetts"
"1400000US25017322400","321600","17758","Census Tract 3224, Middlesex County, Massachusetts"
"1400000US25017323100","460000","17400","Census Tract 3231, Middlesex County, Massachusetts"
"1400000US25017324101","389300","19153","Census Tract 3241.01, Middlesex County, Massachusetts"
"1400000US25017324102","417000","26842","Census Tract 3241.02, Middlesex County, Massachusetts"
"1400000US25017325100","314400","22590","Census Tract 3251, Middlesex County, Massachusetts"
"1400000US25017326101","502900","45688","Census Tract 3261.01, Middlesex County, Massachusetts"
"1400000US25017326102","455600","22700","Census Tract 3261.02, Middlesex County, Massachusetts"
"1400000US25017327101","360300","15382","Census Tract 3271.01, Middlesex County, Massachusetts"
"1400000US25017327102","292700","19259","Census Tract 3271.02, Middlesex County, Massachusetts"
"1400000US25017327103","374200","22444","Census Tract 3271.03, Middlesex County, Massachusetts"
"1400000US25017328100","472600","19544","Census Tract 3281, Middlesex County, Massachusetts"
"1400000US25017330100","503700","34980","Census Tract 3301, Middlesex County, Massachusetts"
"1400000US25017330200","392100","27182","Census Tract 3302, Middlesex County, Massachusetts"
"1400000US25017331101","443200","29028","Census Tract 3311.01, Middlesex County, Massachusetts"
"1400000US25017331102","392300","16314","Census Tract 3311.02, Middlesex County, Massachusetts"
"1400000US25017331200","378100","13179","Census Tract 3312, Middlesex County, Massachusetts"
"1400000US25017331300","415100","19829","Census Tract 3313, Middlesex County, Massachusetts"
"1400000US25017332100","450200","12502","Census Tract 3321, Middlesex County, Massachusetts"
"1400000US25017332200","442100","18841","Census Tract 3322, Middlesex County, Massachusetts"
"1400000US25017332300","424000","11529","Census Tract 3323, Middlesex County, Massachusetts"
"1400000US25017332400","429300","20982","Census Tract 3324, Middlesex County, Massachusetts"
"1400000US25017333100","396000","15005","Census Tract 3331, Middlesex County, Massachusetts"
"1400000US25017333200","394700","26808","Census Tract 3332, Middlesex County, Massachusetts"
"1400000US25017333300","360200","15347","Census Tract 3333, Middlesex County, Massachusetts"
"1400000US25017333400","365800","12955","Census Tract 3334, Middlesex County, Massachusetts"
"1400000US25017333501","385400","19788","Census Tract 3335.01, Middlesex County, Massachusetts"
"1400000US25017333502","377200","29791","Census Tract 3335.02, Middlesex County, Massachusetts"
"1400000US25017333600","369400","17979","Census Tract 3336, Middlesex County, Massachusetts"
"1400000US25017334100","504000","30637","Census Tract 3341, Middlesex County, Massachusetts"
"1400000US25017334200","446400","20898","Census Tract 3342, Middlesex County, Massachusetts"
"1400000US25017334300","499200","24372","Census Tract 3343, Middlesex County, Massachusetts"
"1400000US25017334400","381700","15590","Census Tract 3344, Middlesex County, Massachusetts"
"1400000US25017335100","406400","29667","Census Tract 3351, Middlesex County, Massachusetts"
"1400000US25017335200","445000","13719","Census Tract 3352, Middlesex County, Massachusetts"
"1400000US25017335301","368200","21094","Census Tract 3353.01, Middlesex County, Massachusetts"
"1400000US25017335302","436600","31490","Census Tract 3353.02, Middlesex County, Massachusetts"
"1400000US25017335400","402500","21339","Census Tract 3354, Middlesex County, Massachusetts"
"1400000US25017336100","438400","17330","Census Tract 3361, Middlesex County, Massachusetts"
"1400000US25017336200","458800","14393","Census Tract 3362, Middlesex County, Massachusetts"
"1400000US25017336300","425100","13895","Census Tract 3363, Middlesex County, Massachusetts"
"1400000US25017336401","343100","15799","Census Tract 3364.01, Middlesex County, Massachusetts"
"1400000US25017336402","430400","30156","Census Tract 3364.02, Middlesex County, Massachusetts"
