"GEO_ID","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home","Geographic Area Name"
"1400000US25017324101","2218","223","1978","201","1847","210","131","149","117","147","14","22","0","127","0","127","0","127","75","48","0","127","0","127","46","41","29","34","0","127","0","127","0","127","0","127","29","33","14","22","122","73","Census Tract 3241.01, Middlesex County, Massachusetts"
"1400000US25017324102","1870","156","1765","149","1694","144","71","48","58","41","0","127","13","22","0","127","0","127","16","24","0","127","0","127","0","127","16","24","0","127","0","127","0","127","0","127","0","127","16","26","73","47","Census Tract 3241.02, Middlesex County, Massachusetts"
"1400000US25017325100","3687","449","3105","468","2803","460","302","129","261","118","29","37","0","127","12","19","0","127","171","91","17","26","0","127","0","127","154","92","0","127","0","127","0","127","29","35","141","113","26","31","215","155","Census Tract 3251, Middlesex County, Massachusetts"
"1400000US25017326101","1838","220","1456","217","1410","225","46","52","46","52","0","127","0","127","0","127","0","127","75","53","0","127","0","127","13","21","62","49","0","127","0","127","0","127","14","22","81","47","0","127","212","112","Census Tract 3261.01, Middlesex County, Massachusetts"
"1400000US25017326102","3167","231","2885","249","2809","236","76","64","76","64","0","127","0","127","0","127","0","127","77","61","0","127","0","127","0","127","77","61","0","127","0","127","0","127","0","127","0","127","0","127","205","93","Census Tract 3261.02, Middlesex County, Massachusetts"
"1400000US25017327101","1880","200","1778","191","1707","195","71","57","61","56","10","14","0","127","0","127","0","127","0","127","0","127","0","127","0","127","0","127","0","127","0","127","9","15","0","127","9","14","0","127","84","53","Census Tract 3271.01, Middlesex County, Massachusetts"
"1400000US25017327102","2406","204","2204","206","1970","185","234","110","222","110","0","127","6","10","0","127","6","10","44","39","0","127","0","127","0","127","44","39","0","127","0","127","10","15","0","127","24","27","0","127","124","60","Census Tract 3271.02, Middlesex County, Massachusetts"
"1400000US25017327103","2145","201","1884","178","1719","158","165","114","165","114","0","127","0","127","0","127","0","127","30","30","5","11","0","127","0","127","25","28","0","127","0","127","0","127","0","127","0","127","67","56","164","69","Census Tract 3271.03, Middlesex County, Massachusetts"
"1400000US25017328100","1646","90","1513","94","1433","95","80","35","65","32","15","16","0","127","0","127","0","127","26","21","10","14","0","127","0","127","16","16","0","127","0","127","4","7","0","127","0","127","9","14","94","52","Census Tract 3281, Middlesex County, Massachusetts"
"1400000US25017330100","4217","272","3690","256","3458","245","232","123","215","116","0","127","0","127","0","127","17","28","144","75","43","36","0","127","32","35","69","51","0","127","0","127","0","127","0","127","75","54","30","47","278","123","Census Tract 3301, Middlesex County, Massachusetts"
"1400000US25017330200","2967","226","2670","262","2483","259","187","99","174","95","13","22","0","127","0","127","0","127","97","82","13","21","0","127","16","24","68","77","0","127","0","127","0","127","0","127","22","33","0","127","178","88","Census Tract 3302, Middlesex County, Massachusetts"
"1400000US25017331101","1692","128","1512","164","1386","160","126","65","78","48","36","38","0","127","12","18","0","127","113","60","0","127","0","127","8","12","105","59","0","127","0","127","0","127","0","127","0","127","0","127","67","48","Census Tract 3311.01, Middlesex County, Massachusetts"
"1400000US25017331102","3258","290","3085","290","2870","256","215","125","171","101","44","66","0","127","0","127","0","127","42","38","0","127","0","127","0","127","42","38","0","127","0","127","0","127","0","127","45","56","0","127","86","70","Census Tract 3311.02, Middlesex County, Massachusetts"
"1400000US25017331200","3017","241","2806","222","2585","224","221","89","179","81","27","25","15","25","0","127","0","127","155","105","21","24","0","127","97","97","37","34","0","127","0","127","0","127","0","127","38","34","0","127","18","20","Census Tract 3312, Middlesex County, Massachusetts"
