"GEO_ID","B23020_001E","B23020_001M","B23020_002E","B23020_002M","B23020_003E","B23020_003M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Geographic Area Name"
"1400000US25021418002","38.4","1.7","39.8","2.2","36.5","2.1","Census Tract 4180.02, Norfolk County, Massachusetts"
"1400000US25021418003","41.6","1.8","42.7","3.3","40.3","2.5","Census Tract 4180.03, Norfolk County, Massachusetts"
"1400000US25021418004","39.5","2.1","42.5","2.4","35.8","3.5","Census Tract 4180.04, Norfolk County, Massachusetts"
"1400000US25021418101","38.4","2.0","40.8","3.2","35.4","2.4","Census Tract 4181.01, Norfolk County, Massachusetts"
"1400000US25021418102","39.9","1.5","43.5","2.2","36.6","2.0","Census Tract 4181.02, Norfolk County, Massachusetts"
"1400000US25021418200","38.6","1.4","40.3","2.2","36.8","1.7","Census Tract 4182, Norfolk County, Massachusetts"
"1400000US25021419100","39.4","1.3","42.6","1.9","36.6","2.1","Census Tract 4191, Norfolk County, Massachusetts"
"1400000US25021419200","38.7","1.5","41.9","1.8","35.6","2.1","Census Tract 4192, Norfolk County, Massachusetts"
"1400000US25021419300","37.8","1.6","41.3","2.2","35.0","1.6","Census Tract 4193, Norfolk County, Massachusetts"
"1400000US25021419400","40.2","1.9","42.0","2.2","38.1","2.8","Census Tract 4194, Norfolk County, Massachusetts"
"1400000US25021419500","38.5","2.8","44.9","4.0","32.4","2.8","Census Tract 4195, Norfolk County, Massachusetts"
"1400000US25021419600","39.2","1.7","44.2","2.1","34.7","2.2","Census Tract 4196, Norfolk County, Massachusetts"
"1400000US25021419700","37.5","1.6","38.7","2.6","36.4","2.7","Census Tract 4197, Norfolk County, Massachusetts"
"1400000US25021419800","38.9","1.5","42.0","2.3","35.7","1.6","Census Tract 4198, Norfolk County, Massachusetts"
"1400000US25021420100","38.3","1.3","39.0","2.1","37.6","2.4","Census Tract 4201, Norfolk County, Massachusetts"
