,RANK_10,RANK_19,SES_10,SES_19,SES_ASC,SES_PR_10,SES_PR_19,SES_PR_ASC
144,15.0,32.0,1.0358121534138878,1.9123400779116686,0.8765279244977808,91.0828025477707,80.2547770700637,-10.828025477707001
145,74.0,68.0,-0.739199856111667,0.7729296614821938,1.512129517593861,53.503184713375795,57.324840764331206,3.8216560509554114
146,25.0,35.0,0.5102429775692789,1.8160753004450583,1.3058323228757793,84.71337579617835,78.343949044586,-6.369426751592357
147,29.0,44.0,0.32252489890636815,1.6091732918227477,1.2866483929163794,82.16560509554141,72.61146496815286,-9.55414012738855
148,46.0,54.0,-0.06427972562113474,1.2148568016590828,1.2791365272802175,71.3375796178344,66.2420382165605,-5.095541401273891
149,30.0,45.0,0.30728975698183403,1.454127270016356,1.146837513034522,81.52866242038218,71.97452229299363,-9.55414012738855
150,23.0,43.0,0.5759880570317218,1.6316044370479035,1.0556163800161817,85.98726114649682,73.24840764331209,-12.738853503184728
151,65.0,,-0.5847876515655044,,,59.23566878980891,,
152,63.0,92.0,-0.5686033968772388,-0.10906519945111874,0.45953819742612007,60.509554140127385,42.038216560509554,-18.47133757961783
153,94.0,115.0,-1.1865926719636863,-0.7172031361844636,0.4693895357792227,40.76433121019109,27.388535031847134,-13.375796178343954
154,91.0,101.0,-1.1550820918182891,-0.34314818243685624,0.8119339093814328,42.675159235668794,36.30573248407643,-6.369426751592364
155,76.0,91.0,-0.8025481084527674,-0.10569040368315713,0.6968577047696103,52.22929936305732,42.675159235668794,-9.554140127388528
156,150.0,130.0,-2.0910992901392085,-1.018091123127181,1.0730081670120275,5.095541401273886,17.8343949044586,12.738853503184712
