"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"2332","200","1562","211","230","129","4","7","360","160","0","12","124","75","52","34","0","12","52","34","1400000US25017352800","Census Tract 3528, Middlesex County, Massachusetts"
"2916","299","2323","281","218","259","0","12","320","168","0","12","18","29","37","28","0","12","37","28","1400000US25017352900","Census Tract 3529, Middlesex County, Massachusetts"
"3803","310","2197","261","486","232","0","12","774","251","7","13","139","115","200","129","39","52","161","115","1400000US25017353000","Census Tract 3530, Middlesex County, Massachusetts"
"2647","260","1552","261","514","227","0","12","372","130","0","12","88","68","121","69","7","11","114","68","1400000US25017353101","Census Tract 3531.01, Middlesex County, Massachusetts"
"4888","510","2735","361","232","85","20","29","1502","281","7","14","75","48","317","127","68","50","249","96","1400000US25017353102","Census Tract 3531.02, Middlesex County, Massachusetts"
"5219","355","3235","355","505","138","0","17","1134","293","73","97","52","40","220","102","8","15","212","102","1400000US25017353200","Census Tract 3532, Middlesex County, Massachusetts"
"4452","359","3279","293","191","87","0","12","638","291","0","12","63","77","281","117","10","16","271","118","1400000US25017353300","Census Tract 3533, Middlesex County, Massachusetts"
"3180","292","1487","225","1066","307","73","82","339","125","0","12","57","59","158","78","58","49","100","61","1400000US25017353400","Census Tract 3534, Middlesex County, Massachusetts"
"2797","255","1932","253","454","93","14","21","214","125","0","12","21","33","162","97","15","22","147","95","1400000US25017353500","Census Tract 3535, Middlesex County, Massachusetts"
"4857","421","3584","374","182","82","17","25","702","134","0","12","80","43","292","105","47","42","245","94","1400000US25017353600","Census Tract 3536, Middlesex County, Massachusetts"
"5858","540","4202","503","282","144","0","17","949","169","8","16","106","62","311","106","34","32","277","101","1400000US25017353700","Census Tract 3537, Middlesex County, Massachusetts"
"4527","429","3207","408","195","140","1","2","736","246","0","12","55","60","333","172","108","115","225","177","1400000US25017353800","Census Tract 3538, Middlesex County, Massachusetts"
"6039","616","3563","423","366","139","22","43","1649","297","8","15","160","103","271","111","22","34","249","104","1400000US25017353900","Census Tract 3539, Middlesex County, Massachusetts"
"4414","425","3184","410","187","127","0","12","695","164","0","12","60","61","288","120","24","32","264","125","1400000US25017354000","Census Tract 3540, Middlesex County, Massachusetts"
"2921","291","2272","251","119","94","9","15","425","239","0","12","45","51","51","39","13","17","38","33","1400000US25017354100","Census Tract 3541, Middlesex County, Massachusetts"
"3219","239","2808","265","122","96","0","12","103","58","11","17","61","58","114","99","64","92","50","44","1400000US25017354200","Census Tract 3542, Middlesex County, Massachusetts"
"3475","252","2369","243","386","126","0","12","450","167","0","12","130","105","140","87","10","19","130","83","1400000US25017354300","Census Tract 3543, Middlesex County, Massachusetts"
"1732","149","1457","136","8","11","0","12","106","52","0","12","25","27","136","72","0","12","136","72","1400000US25017354400","Census Tract 3544, Middlesex County, Massachusetts"
