"B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier","id","Geographic Area Name"
"3240","91","64","79","0","17","116","70","116","100","801","202","997","172","223","107","72","66","141","82","710","179","1400000US25025030300","Census Tract 303, Suffolk County, Massachusetts"
"1651","74","0","12","0","12","86","59","31","36","21","23","60","49","97","51","124","72","55","43","1177","118","1400000US25025030400","Census Tract 304, Suffolk County, Massachusetts"
"1686","66","0","12","0","12","51","24","84","42","271","93","123","64","53","37","51","33","85","54","968","122","1400000US25025030500","Census Tract 305, Suffolk County, Massachusetts"
"1301","69","14","22","9","15","87","36","53","53","253","70","73","69","34","32","36","26","15","18","727","106","1400000US25025040100","Census Tract 401, Suffolk County, Massachusetts"
"785","32","0","12","10","10","22","14","82","42","21","20","13","15","71","46","24","19","69","29","473","66","1400000US25025040200","Census Tract 402, Suffolk County, Massachusetts"
"2186","74","20","24","27","27","47","36","46","46","75","43","48","35","96","62","87","49","116","84","1624","146","1400000US25025040300","Census Tract 403, Suffolk County, Massachusetts"
"1409","69","32","33","45","26","97","59","70","45","23","22","288","97","101","100","63","52","39","49","651","130","1400000US25025040401","Census Tract 404.01, Suffolk County, Massachusetts"
"1573","54","7","12","35","32","233","68","59","42","85","43","95","55","40","29","50","44","16","14","953","105","1400000US25025040600","Census Tract 406, Suffolk County, Massachusetts"
"2319","84","38","25","18","27","277","82","163","64","419","95","167","70","207","123","257","105","227","88","546","121","1400000US25025040801","Census Tract 408.01, Suffolk County, Massachusetts"
"2071","61","20","23","0","17","47","49","85","58","19","21","150","76","27","23","78","62","76","42","1569","130","1400000US25025050101","Census Tract 501.01, Suffolk County, Massachusetts"
"1951","139","37","26","13","21","44","41","64","41","29","32","48","39","50","39","56","47","49","40","1561","175","1400000US25025050200","Census Tract 502, Suffolk County, Massachusetts"
"1458","48","331","87","21","26","433","78","65","42","15","16","192","68","15","16","87","54","13","17","286","81","1400000US25025050300","Census Tract 503, Suffolk County, Massachusetts"
"1105","54","9","13","4","7","11","16","7","10","64","39","48","39","29","23","39","24","66","34","828","85","1400000US25025050400","Census Tract 504, Suffolk County, Massachusetts"
"810","41","0","12","0","12","46","31","5","7","67","46","21","18","9","10","19","18","0","12","643","65","1400000US25025050500","Census Tract 505, Suffolk County, Massachusetts"
"939","56","6","10","60","26","0","12","32","32","17","18","46","36","28","22","20","19","54","59","676","92","1400000US25025050600","Census Tract 506, Suffolk County, Massachusetts"
"1790","79","15","17","25","27","76","53","24","27","25","33","55","70","16","19","0","17","44","30","1510","135","1400000US25025050700","Census Tract 507, Suffolk County, Massachusetts"
"1559","93","0","12","0","12","0","12","28","32","7","12","51","49","12","20","119","82","28","34","1314","123","1400000US25025050901","Census Tract 509.01, Suffolk County, Massachusetts"
"1974","44","7","16","69","59","99","62","0","12","75","57","38","37","233","100","54","37","79","62","1320","141","1400000US25025051000","Census Tract 510, Suffolk County, Massachusetts"
"2541","103","0","17","57","56","14","24","174","135","162","77","217","126","67","59","139","95","169","83","1542","214","1400000US25025051101","Census Tract 511.01, Suffolk County, Massachusetts"
"1485","66","135","54","46","50","21","23","43","28","23","25","87","86","44","41","57","53","10","16","1019","126","1400000US25025051200","Census Tract 512, Suffolk County, Massachusetts"
"1758","71","52","48","76","52","92","54","28","26","40","27","130","52","124","63","115","46","79","40","1022","128","1400000US25025060101","Census Tract 601.01, Suffolk County, Massachusetts"
"1020","49","0","12","6","9","6","10","13","11","87","39","20","17","27","19","39","23","48","38","774","76","1400000US25025060200","Census Tract 602, Suffolk County, Massachusetts"
"1747","104","50","31","57","62","0","12","18","19","100","72","162","76","59","43","87","43","124","71","1090","145","1400000US25025060301","Census Tract 603.01, Suffolk County, Massachusetts"
"2638","94","11","20","89","77","144","95","211","120","34","30","347","142","48","48","277","131","100","73","1377","189","1400000US25025060400","Census Tract 604, Suffolk County, Massachusetts"
"2218","129","62","48","322","122","219","110","48","41","100","69","140","89","18","21","82","68","44","44","1183","197","1400000US25025060501","Census Tract 605.01, Suffolk County, Massachusetts"
"3245","130","1137","157","452","141","523","154","88","68","167","77","31","28","38","30","73","57","76","64","660","133","1400000US25025060600","Census Tract 606, Suffolk County, Massachusetts"
"960","22","0","12","6","9","266","68","46","37","41","23","75","39","43","29","40","30","125","55","318","69","1400000US25025060700","Census Tract 607, Suffolk County, Massachusetts"
"2402","62","136","114","72","61","146","103","410","151","348","144","69","55","25","30","160","78","38","36","998","214","1400000US25025060800","Census Tract 608, Suffolk County, Massachusetts"
