"B23020_001E","B23020_001M","B23020_002E","B23020_002M","B23020_003E","B23020_003M","GEO_ID","NAME"
"Estimate!!Mean usual hours--!!Total:","Margin of Error!!Mean usual hours--!!Total:","Estimate!!Mean usual hours--!!Total:!!Male","Margin of Error!!Mean usual hours--!!Total:!!Male","Estimate!!Mean usual hours--!!Total:!!Female","Margin of Error!!Mean usual hours--!!Total:!!Female","id","Geographic Area Name"
"39.0","1.5","44.0","2.5","33.7","2.9","1400000US25009260302","Census Tract 2603.02, Essex County, Massachusetts"
"39.2","1.7","41.4","2.5","36.5","1.9","1400000US25009260401","Census Tract 2604.01, Essex County, Massachusetts"
"39.2","1.7","43.6","2.5","35.7","2.6","1400000US25009260402","Census Tract 2604.02, Essex County, Massachusetts"
"38.7","1.8","40.9","3.2","36.6","3.2","1400000US25009260500","Census Tract 2605, Essex County, Massachusetts"
"37.4","1.4","39.1","2.0","35.6","1.8","1400000US25009260600","Census Tract 2606, Essex County, Massachusetts"
"36.7","1.6","37.2","2.5","36.1","1.9","1400000US25009260700","Census Tract 2607, Essex County, Massachusetts"
"37.7","1.4","38.7","2.5","36.9","1.5","1400000US25009260800","Census Tract 2608, Essex County, Massachusetts"
"39.1","2.7","41.4","4.2","37.2","2.8","1400000US25009260900","Census Tract 2609, Essex County, Massachusetts"
"36.5","1.7","39.9","2.3","32.7","2.9","1400000US25009261000","Census Tract 2610, Essex County, Massachusetts"
"36.4","1.9","42.3","1.6","30.9","2.3","1400000US25009261101","Census Tract 2611.01, Essex County, Massachusetts"
"37.0","1.6","40.2","1.8","34.2","2.6","1400000US25009261102","Census Tract 2611.02, Essex County, Massachusetts"
"37.9","1.8","41.0","2.8","34.4","2.4","1400000US25009262100","Census Tract 2621, Essex County, Massachusetts"
"38.6","1.8","42.3","2.2","34.9","2.4","1400000US25009263100","Census Tract 2631, Essex County, Massachusetts"
"37.7","0.9","40.8","1.6","34.6","1.4","1400000US25009264100","Census Tract 2641, Essex County, Massachusetts"
"39.2","1.7","42.9","2.2","34.6","2.4","1400000US25009265101","Census Tract 2651.01, Essex County, Massachusetts"
"39.1","1.2","43.1","1.8","35.2","1.3","1400000US25009265102","Census Tract 2651.02, Essex County, Massachusetts"
"38.3","1.3","41.2","1.8","35.0","1.8","1400000US25009266100","Census Tract 2661, Essex County, Massachusetts"
"38.3","1.5","41.4","1.6","35.5","2.3","1400000US25009266200","Census Tract 2662, Essex County, Massachusetts"
"38.2","1.7","40.1","3.1","36.1","1.8","1400000US25009266300","Census Tract 2663, Essex County, Massachusetts"
"37.5","1.3","40.9","1.9","34.3","1.8","1400000US25009266400","Census Tract 2664, Essex County, Massachusetts"
"37.2","1.6","39.0","2.4","35.1","2.2","1400000US25009267101","Census Tract 2671.01, Essex County, Massachusetts"
"37.9","1.3","40.5","1.7","35.2","2.2","1400000US25009267102","Census Tract 2671.02, Essex County, Massachusetts"
"37.1","1.9","39.2","2.9","34.9","2.9","1400000US25009268100","Census Tract 2681, Essex County, Massachusetts"
