"B25077_001E","B25077_001M","GEO_ID","NAME"
"Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","id","Geographic Area Name"
"303300","23483","1400000US25009266400","Census Tract 2664, Essex County, Massachusetts"
"354800","16912","1400000US25009267101","Census Tract 2671.01, Essex County, Massachusetts"
"373600","29105","1400000US25009267102","Census Tract 2671.02, Essex County, Massachusetts"
"556500","24415","1400000US25009268100","Census Tract 2681, Essex County, Massachusetts"
"481900","30833","1400000US25009268200","Census Tract 2682, Essex County, Massachusetts"
"496300","50118","1400000US25009268300","Census Tract 2683, Essex County, Massachusetts"
"653700","39135","1400000US25009268400","Census Tract 2684, Essex County, Massachusetts"
"517100","47436","1400000US25009269100","Census Tract 2691, Essex County, Massachusetts"
"486100","35556","1400000US25009270100","Census Tract 2701, Essex County, Massachusetts"
"-","**","1400000US25009990100","Census Tract 9901, Essex County, Massachusetts"
"267900","11842","1400000US25017300100","Census Tract 3001, Middlesex County, Massachusetts"
"282900","22795","1400000US25017301101","Census Tract 3011.01, Middlesex County, Massachusetts"
"295200","11479","1400000US25017301102","Census Tract 3011.02, Middlesex County, Massachusetts"
"218500","58284","1400000US25017310100","Census Tract 3101, Middlesex County, Massachusetts"
"293100","27826","1400000US25017310200","Census Tract 3102, Middlesex County, Massachusetts"
"220700","21268","1400000US25017310300","Census Tract 3103, Middlesex County, Massachusetts"
"174600","14290","1400000US25017310400","Census Tract 3104, Middlesex County, Massachusetts"
"239600","14936","1400000US25017310500","Census Tract 3105, Middlesex County, Massachusetts"
"284400","23185","1400000US25017310601","Census Tract 3106.01, Middlesex County, Massachusetts"
"249700","23878","1400000US25017310602","Census Tract 3106.02, Middlesex County, Massachusetts"
"213100","52155","1400000US25017310700","Census Tract 3107, Middlesex County, Massachusetts"
"281300","25310","1400000US25017311100","Census Tract 3111, Middlesex County, Massachusetts"
"269200","63374","1400000US25017311200","Census Tract 3112, Middlesex County, Massachusetts"
"273900","19145","1400000US25017311300","Census Tract 3113, Middlesex County, Massachusetts"
"270900","45638","1400000US25017311400","Census Tract 3114, Middlesex County, Massachusetts"
"294800","26423","1400000US25017311500","Census Tract 3115, Middlesex County, Massachusetts"
"310600","23432","1400000US25017311600","Census Tract 3116, Middlesex County, Massachusetts"
"249200","15144","1400000US25017311700","Census Tract 3117, Middlesex County, Massachusetts"
"281800","90025","1400000US25017311800","Census Tract 3118, Middlesex County, Massachusetts"
"175000","50118","1400000US25017311900","Census Tract 3119, Middlesex County, Massachusetts"
"236800","26912","1400000US25017312000","Census Tract 3120, Middlesex County, Massachusetts"
"236500","27910","1400000US25017312100","Census Tract 3121, Middlesex County, Massachusetts"
"236400","11319","1400000US25017312200","Census Tract 3122, Middlesex County, Massachusetts"
"258900","22211","1400000US25017312300","Census Tract 3123, Middlesex County, Massachusetts"
"237900","51205","1400000US25017312400","Census Tract 3124, Middlesex County, Massachusetts"
"355100","9512","1400000US25017312501","Census Tract 3125.01, Middlesex County, Massachusetts"
"372000","24778","1400000US25017312502","Census Tract 3125.02, Middlesex County, Massachusetts"
"403600","25028","1400000US25017313101","Census Tract 3131.01, Middlesex County, Massachusetts"
"375000","25909","1400000US25017313102","Census Tract 3131.02, Middlesex County, Massachusetts"
"331600","12219","1400000US25017314101","Census Tract 3141.01, Middlesex County, Massachusetts"
"278100","15273","1400000US25017314102","Census Tract 3141.02, Middlesex County, Massachusetts"
"344100","22639","1400000US25017314200","Census Tract 3142, Middlesex County, Massachusetts"
"353400","16416","1400000US25017314301","Census Tract 3143.01, Middlesex County, Massachusetts"
"412100","16668","1400000US25017314302","Census Tract 3143.02, Middlesex County, Massachusetts"
"416000","18479","1400000US25017315100","Census Tract 3151, Middlesex County, Massachusetts"
"409300","25892","1400000US25017315200","Census Tract 3152, Middlesex County, Massachusetts"
"324900","15570","1400000US25017315401","Census Tract 3154.01, Middlesex County, Massachusetts"
"432000","18405","1400000US25017315402","Census Tract 3154.02, Middlesex County, Massachusetts"
"391400","19180","1400000US25017315403","Census Tract 3154.03, Middlesex County, Massachusetts"
"373400","11164","1400000US25017315500","Census Tract 3155, Middlesex County, Massachusetts"
"429300","12990","1400000US25017316101","Census Tract 3161.01, Middlesex County, Massachusetts"
"425800","14419","1400000US25017316102","Census Tract 3161.02, Middlesex County, Massachusetts"
"407300","27675","1400000US25017316201","Census Tract 3162.01, Middlesex County, Massachusetts"
"415300","16706","1400000US25017316202","Census Tract 3162.02, Middlesex County, Massachusetts"
"385400","28032","1400000US25017316300","Census Tract 3163, Middlesex County, Massachusetts"
"384100","15304","1400000US25017316400","Census Tract 3164, Middlesex County, Massachusetts"
"380500","23638","1400000US25017316500","Census Tract 3165, Middlesex County, Massachusetts"
"408200","21702","1400000US25017317101","Census Tract 3171.01, Middlesex County, Massachusetts"
"392800","18109","1400000US25017317102","Census Tract 3171.02, Middlesex County, Massachusetts"
"459700","10713","1400000US25017317103","Census Tract 3171.03, Middlesex County, Massachusetts"
"475500","19383","1400000US25017317201","Census Tract 3172.01, Middlesex County, Massachusetts"
"473600","22133","1400000US25017317202","Census Tract 3172.02, Middlesex County, Massachusetts"
"367400","11118","1400000US25017317203","Census Tract 3172.03, Middlesex County, Massachusetts"
"368800","24968","1400000US25017317301","Census Tract 3173.01, Middlesex County, Massachusetts"
"305100","21981","1400000US25017317302","Census Tract 3173.02, Middlesex County, Massachusetts"
"517300","33640","1400000US25017318100","Census Tract 3181, Middlesex County, Massachusetts"
"438800","24015","1400000US25017318200","Census Tract 3182, Middlesex County, Massachusetts"
"577900","21801","1400000US25017318300","Census Tract 3183, Middlesex County, Massachusetts"
"571900","30688","1400000US25017318400","Census Tract 3184, Middlesex County, Massachusetts"
"527400","39101","1400000US25017320102","Census Tract 3201.02, Middlesex County, Massachusetts"
"587700","34275","1400000US25017320103","Census Tract 3201.03, Middlesex County, Massachusetts"
"604900","24463","1400000US25017320104","Census Tract 3201.04, Middlesex County, Massachusetts"
"393100","29560","1400000US25017321100","Census Tract 3211, Middlesex County, Massachusetts"
"330000","21040","1400000US25017321200","Census Tract 3212, Middlesex County, Massachusetts"
"337800","25990","1400000US25017321300","Census Tract 3213, Middlesex County, Massachusetts"
"383800","26931","1400000US25017321400","Census Tract 3214, Middlesex County, Massachusetts"
"299000","39101","1400000US25017321500","Census Tract 3215, Middlesex County, Massachusetts"
"360500","20418","1400000US25017321600","Census Tract 3216, Middlesex County, Massachusetts"
"412200","21786","1400000US25017322100","Census Tract 3221, Middlesex County, Massachusetts"
"376500","14219","1400000US25017322200","Census Tract 3222, Middlesex County, Massachusetts"
"282600","18416","1400000US25017322300","Census Tract 3223, Middlesex County, Massachusetts"
"345000","20645","1400000US25017322400","Census Tract 3224, Middlesex County, Massachusetts"
"507800","33784","1400000US25017323100","Census Tract 3231, Middlesex County, Massachusetts"
"417300","31727","1400000US25017324101","Census Tract 3241.01, Middlesex County, Massachusetts"
"516600","30532","1400000US25017324102","Census Tract 3241.02, Middlesex County, Massachusetts"
"326600","15077","1400000US25017325100","Census Tract 3251, Middlesex County, Massachusetts"
"479800","25867","1400000US25017326101","Census Tract 3261.01, Middlesex County, Massachusetts"
"468900","27209","1400000US25017326102","Census Tract 3261.02, Middlesex County, Massachusetts"
"364400","12972","1400000US25017327101","Census Tract 3271.01, Middlesex County, Massachusetts"
"314500","16906","1400000US25017327102","Census Tract 3271.02, Middlesex County, Massachusetts"
"353700","17142","1400000US25017327103","Census Tract 3271.03, Middlesex County, Massachusetts"
"470900","16039","1400000US25017328100","Census Tract 3281, Middlesex County, Massachusetts"
"579800","26651","1400000US25017330100","Census Tract 3301, Middlesex County, Massachusetts"
"468500","38334","1400000US25017330200","Census Tract 3302, Middlesex County, Massachusetts"
"468500","29289","1400000US25017331101","Census Tract 3311.01, Middlesex County, Massachusetts"
"464700","21863","1400000US25017331102","Census Tract 3311.02, Middlesex County, Massachusetts"
"472000","15362","1400000US25017331200","Census Tract 3312, Middlesex County, Massachusetts"
"488800","32583","1400000US25017331300","Census Tract 3313, Middlesex County, Massachusetts"
"573600","32557","1400000US25017332100","Census Tract 3321, Middlesex County, Massachusetts"
"534100","49895","1400000US25017332200","Census Tract 3322, Middlesex County, Massachusetts"
"488600","19492","1400000US25017332300","Census Tract 3323, Middlesex County, Massachusetts"
"548300","38822","1400000US25017332400","Census Tract 3324, Middlesex County, Massachusetts"
"510900","33345","1400000US25017333100","Census Tract 3331, Middlesex County, Massachusetts"
"424600","33190","1400000US25017333200","Census Tract 3332, Middlesex County, Massachusetts"
"429700","33276","1400000US25017333300","Census Tract 3333, Middlesex County, Massachusetts"
"443300","24175","1400000US25017333400","Census Tract 3334, Middlesex County, Massachusetts"
"423100","25108","1400000US25017333501","Census Tract 3335.01, Middlesex County, Massachusetts"
"445400","49057","1400000US25017333502","Census Tract 3335.02, Middlesex County, Massachusetts"
"458500","31526","1400000US25017333600","Census Tract 3336, Middlesex County, Massachusetts"
"605500","27424","1400000US25017334100","Census Tract 3341, Middlesex County, Massachusetts"
"518300","42302","1400000US25017334200","Census Tract 3342, Middlesex County, Massachusetts"
"615900","21348","1400000US25017334300","Census Tract 3343, Middlesex County, Massachusetts"
"470800","19614","1400000US25017334400","Census Tract 3344, Middlesex County, Massachusetts"
"461100","29914","1400000US25017335100","Census Tract 3351, Middlesex County, Massachusetts"
"570100","28895","1400000US25017335200","Census Tract 3352, Middlesex County, Massachusetts"
"465100","20595","1400000US25017335301","Census Tract 3353.01, Middlesex County, Massachusetts"
"529200","35285","1400000US25017335302","Census Tract 3353.02, Middlesex County, Massachusetts"
"526300","26557","1400000US25017335400","Census Tract 3354, Middlesex County, Massachusetts"
"594100","33477","1400000US25017336100","Census Tract 3361, Middlesex County, Massachusetts"
"635800","29338","1400000US25017336200","Census Tract 3362, Middlesex County, Massachusetts"
"560600","34296","1400000US25017336300","Census Tract 3363, Middlesex County, Massachusetts"
"505300","73584","1400000US25017336401","Census Tract 3364.01, Middlesex County, Massachusetts"
"468800","42421","1400000US25017336402","Census Tract 3364.02, Middlesex County, Massachusetts"
"517600","32170","1400000US25017337101","Census Tract 3371.01, Middlesex County, Massachusetts"
"569500","25946","1400000US25017337102","Census Tract 3371.02, Middlesex County, Massachusetts"
"505600","37054","1400000US25017337201","Census Tract 3372.01, Middlesex County, Massachusetts"
"486100","28400","1400000US25017337202","Census Tract 3372.02, Middlesex County, Massachusetts"
"428500","26066","1400000US25017337300","Census Tract 3373, Middlesex County, Massachusetts"
"843000","37861","1400000US25017338100","Census Tract 3381, Middlesex County, Massachusetts"
"608700","32790","1400000US25017338200","Census Tract 3382, Middlesex County, Massachusetts"
"1224500","74395","1400000US25017338300","Census Tract 3383, Middlesex County, Massachusetts"
"1074100","60374","1400000US25017338400","Census Tract 3384, Middlesex County, Massachusetts"
"990300","43710","1400000US25017338500","Census Tract 3385, Middlesex County, Massachusetts"
"555400","44314","1400000US25017339100","Census Tract 3391, Middlesex County, Massachusetts"
"605400","25769","1400000US25017339200","Census Tract 3392, Middlesex County, Massachusetts"
"483500","53332","1400000US25017339300","Census Tract 3393, Middlesex County, Massachusetts"
"503600","62493","1400000US25017339400","Census Tract 3394, Middlesex County, Massachusetts"
"516100","46423","1400000US25017339500","Census Tract 3395, Middlesex County, Massachusetts"
"514900","72348","1400000US25017339600","Census Tract 3396, Middlesex County, Massachusetts"
"476000","25188","1400000US25017339700","Census Tract 3397, Middlesex County, Massachusetts"
"501200","49147","1400000US25017339801","Census Tract 3398.01, Middlesex County, Massachusetts"
"441700","50965","1400000US25017339802","Census Tract 3398.02, Middlesex County, Massachusetts"
"470200","49303","1400000US25017339900","Census Tract 3399, Middlesex County, Massachusetts"
"450300","31767","1400000US25017340000","Census Tract 3400, Middlesex County, Massachusetts"
"467800","16781","1400000US25017340100","Census Tract 3401, Middlesex County, Massachusetts"
"469000","34564","1400000US25017341101","Census Tract 3411.01, Middlesex County, Massachusetts"
"420200","34615","1400000US25017341102","Census Tract 3411.02, Middlesex County, Massachusetts"
"398700","29991","1400000US25017341200","Census Tract 3412, Middlesex County, Massachusetts"
"381900","67459","1400000US25017341300","Census Tract 3413, Middlesex County, Massachusetts"
"354500","113313","1400000US25017341400","Census Tract 3414, Middlesex County, Massachusetts"
"368200","42594","1400000US25017341500","Census Tract 3415, Middlesex County, Massachusetts"
"438000","27272","1400000US25017341600","Census Tract 3416, Middlesex County, Massachusetts"
"381900","25370","1400000US25017341700","Census Tract 3417, Middlesex County, Massachusetts"
"359200","33099","1400000US25017341800","Census Tract 3418, Middlesex County, Massachusetts"
"361700","20162","1400000US25017341901","Census Tract 3419.01, Middlesex County, Massachusetts"
"425200","32840","1400000US25017341902","Census Tract 3419.02, Middlesex County, Massachusetts"
"422300","59132","1400000US25017342101","Census Tract 3421.01, Middlesex County, Massachusetts"
"387900","42000","1400000US25017342102","Census Tract 3421.02, Middlesex County, Massachusetts"
"379000","38904","1400000US25017342201","Census Tract 3422.01, Middlesex County, Massachusetts"
"373000","24845","1400000US25017342202","Census Tract 3422.02, Middlesex County, Massachusetts"
"465300","36198","1400000US25017342300","Census Tract 3423, Middlesex County, Massachusetts"
"379800","41916","1400000US25017342400","Census Tract 3424, Middlesex County, Massachusetts"
"422000","44989","1400000US25017342500","Census Tract 3425, Middlesex County, Massachusetts"
"397700","38064","1400000US25017342600","Census Tract 3426, Middlesex County, Massachusetts"
"642000","73084","1400000US25017350103","Census Tract 3501.03, Middlesex County, Massachusetts"
"632100","54805","1400000US25017350104","Census Tract 3501.04, Middlesex County, Massachusetts"
"557700","74039","1400000US25017350200","Census Tract 3502, Middlesex County, Massachusetts"
"514600","113422","1400000US25017350300","Census Tract 3503, Middlesex County, Massachusetts"
"820500","86204","1400000US25017350400","Census Tract 3504, Middlesex County, Massachusetts"
"1053100","114388","1400000US25017350500","Census Tract 3505, Middlesex County, Massachusetts"
"715600","85278","1400000US25017350600","Census Tract 3506, Middlesex County, Massachusetts"
"604100","69642","1400000US25017350700","Census Tract 3507, Middlesex County, Massachusetts"
"726000","68810","1400000US25017350800","Census Tract 3508, Middlesex County, Massachusetts"
"796100","79007","1400000US25017350900","Census Tract 3509, Middlesex County, Massachusetts"
"672300","58243","1400000US25017351000","Census Tract 3510, Middlesex County, Massachusetts"
"773000","69656","1400000US25017351100","Census Tract 3511, Middlesex County, Massachusetts"
"685800","66243","1400000US25017351203","Census Tract 3512.03, Middlesex County, Massachusetts"
"644500","40726","1400000US25017351204","Census Tract 3512.04, Middlesex County, Massachusetts"
"816900","71037","1400000US25017351300","Census Tract 3513, Middlesex County, Massachusetts"
"612000","55066","1400000US25017351403","Census Tract 3514.03, Middlesex County, Massachusetts"
"539900","58608","1400000US25017351404","Census Tract 3514.04, Middlesex County, Massachusetts"
"465400","94093","1400000US25017351500","Census Tract 3515, Middlesex County, Massachusetts"
"659800","24734","1400000US25017352101","Census Tract 3521.01, Middlesex County, Massachusetts"
"861000","82159","1400000US25017352102","Census Tract 3521.02, Middlesex County, Massachusetts"
