"B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home","id","Geographic Area Name"
"4205","602","3178","489","2656","439","522","169","389","161","0","17","99","102","0","17","34","51","868","275","376","159","492","228","0","17","0","17","0","17","0","17","0","17","15","23","31","38","33","51","80","86","1400000US25017342300","Census Tract 3423, Middlesex County, Massachusetts"
"4036","369","2096","399","1570","394","526","228","273","134","232","226","0","17","0","17","21","33","1455","377","708","259","747","306","0","17","0","17","0","17","49","79","0","17","0","17","210","189","25","30","201","152","1400000US25017342400","Census Tract 3424, Middlesex County, Massachusetts"
"4320","387","3064","449","2117","453","947","346","432","195","432","296","83","90","0","17","0","17","982","312","402","190","580","261","0","17","0","17","0","17","0","17","0","17","32","50","97","84","35","39","110","88","1400000US25017342500","Census Tract 3425, Middlesex County, Massachusetts"
"2637","381","1964","311","1493","300","471","187","389","167","20","22","62","79","0","12","0","12","479","160","277","107","202","107","0","12","0","12","0","12","0","12","0","12","0","12","68","62","0","12","126","80","1400000US25017342600","Census Tract 3426, Middlesex County, Massachusetts"
"1620","213","987","177","805","122","182","101","140","81","30","32","0","12","0","12","12","20","477","99","62","41","415","95","0","12","0","12","0","12","16","13","0","12","0","12","42","30","26","26","72","65","1400000US25017350103","Census Tract 3501.03, Middlesex County, Massachusetts"
"4174","543","2621","413","2169","409","452","195","251","156","184","137","17","26","0","17","0","17","1128","286","477","248","643","201","8","14","0","17","0","17","35","40","0","17","126","74","90","69","47","34","127","97","1400000US25017350104","Census Tract 3501.04, Middlesex County, Massachusetts"
"4561","510","2434","332","2146","319","288","137","216","124","72","61","0","17","0","17","0","17","1229","318","578","267","631","225","4","9","16","26","0","17","28","33","43","52","256","140","306","150","0","17","265","138","1400000US25017350200","Census Tract 3502, Middlesex County, Massachusetts"
"2189","227","982","173","853","154","129","63","120","61","9","15","0","12","0","12","0","12","749","143","152","97","588","113","0","12","9","14","0","12","11","18","0","12","104","66","206","70","0","12","137","58","1400000US25017350300","Census Tract 3503, Middlesex County, Massachusetts"
"4406","517","1380","302","1184","295","196","104","150","89","0","17","46","54","0","17","0","17","2080","273","105","86","1959","273","0","17","16","27","0","17","9","14","0","17","528","285","231","120","0","17","178","90","1400000US25017350400","Census Tract 3504, Middlesex County, Massachusetts"
"1141","123","338","88","324","86","14","20","14","20","0","12","0","12","0","12","0","12","617","111","62","35","555","109","0","12","0","12","0","12","0","12","0","12","29","24","77","45","0","12","80","26","1400000US25017350500","Census Tract 3505, Middlesex County, Massachusetts"
"2812","296","1046","199","844","203","202","101","159","101","19","28","24","33","0","17","0","17","752","197","126","70","608","173","18","20","0","17","0","17","31","37","0","17","127","60","729","179","7","15","120","57","1400000US25017350600","Census Tract 3506, Middlesex County, Massachusetts"
"3403","344","1633","283","1502","279","131","68","120","66","0","17","11","19","0","17","0","17","1229","248","284","120","917","205","28","33","0","17","0","17","0","17","0","17","70","50","383","165","0","17","88","66","1400000US25017350700","Census Tract 3507, Middlesex County, Massachusetts"
"1658","148","656","97","579","89","77","39","61","35","16","18","0","12","0","12","0","12","784","121","90","37","679","115","0","12","9","14","6","9","0","12","0","12","93","48","37","25","5","7","83","30","1400000US25017350800","Census Tract 3508, Middlesex County, Massachusetts"
"3094","265","1162","221","1099","205","63","61","55","60","0","12","0","12","0","12","8","13","1433","239","142","91","1259","222","8","13","24","28","0","12","0","12","0","12","148","77","144","57","13","22","194","74","1400000US25017350900","Census Tract 3509, Middlesex County, Massachusetts"
"5667","474","1794","300","1561","265","233","145","165","102","68","105","0","17","0","17","0","17","2371","440","140","84","2115","431","68","65","48","73","0","17","68","63","0","17","363","174","904","240","26","40","141","83","1400000US25017351000","Census Tract 3510, Middlesex County, Massachusetts"
"4109","499","1613","326","1384","291","229","99","217","106","0","17","12","21","0","17","0","17","1112","248","508","183","581","187","23","36","0","17","0","17","11","20","0","17","441","208","547","179","49","45","336","160","1400000US25017351100","Census Tract 3511, Middlesex County, Massachusetts"
"3228","282","842","139","822","133","20","20","10","14","6","10","4","8","0","12","0","12","780","168","278","111","477","146","17","19","8","13","0","12","20","23","10","16","498","134","942","179","0","12","136","67","1400000US25017351203","Census Tract 3512.03, Middlesex County, Massachusetts"
"3199","350","1194","238","1148","238","46","28","46","28","0","12","0","12","0","12","0","12","845","167","251","86","594","170","0","12","0","12","0","12","0","12","0","12","460","134","535","134","10","16","155","77","1400000US25017351204","Census Tract 3512.04, Middlesex County, Massachusetts"
"2715","392","1139","299","1004","286","135","90","104","83","14","23","17","26","0","12","0","12","604","223","297","136","307","138","0","12","0","12","0","12","34","38","0","12","246","87","406","187","117","88","169","109","1400000US25017351300","Census Tract 3513, Middlesex County, Massachusetts"
"3137","372","1520","353","1308","420","212","172","50","38","155","164","7","11","0","12","0","12","1237","280","292","146","927","286","18","20","0","12","0","12","30","37","0","12","86","58","206","137","42","64","16","17","1400000US25017351403","Census Tract 3514.03, Middlesex County, Massachusetts"
"2346","284","1253","273","1039","221","214","139","209","138","5","9","0","12","0","12","0","12","671","197","303","132","368","142","0","12","0","12","0","12","0","12","0","12","159","102","212","98","0","12","51","44","1400000US25017351404","Census Tract 3514.04, Middlesex County, Massachusetts"
"1547","229","578","209","448","154","130","149","130","149","0","12","0","12","0","12","0","12","405","99","234","79","171","72","0","12","0","12","0","12","0","12","0","12","196","73","218","103","32","42","118","88","1400000US25017351500","Census Tract 3515, Middlesex County, Massachusetts"
